"CUADRO Nº 12: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE SI DISPONEN DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA POTABLE",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia SANTA",,,,,,,,,
"Viviendas particulares (001)",67953,20457,30733,5543,3099,394,324,321,7082
"Ocupantes presentes (002)",307179,92178,141792,24738,13394,1701,1434,1420,30522
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",64304,19387,29005,5242,2986,388,314,306,6676
"Ocupantes presentes (005)",294351,88399,135631,23671,13028,1681,1387,1360,29194
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",933,109,426,71,40,3,2,7,275
"Ocupantes presentes (008)",3262,402,1528,271,129,9,8,24,891
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",444,73,274,51,8,,2,6,30
"Ocupantes presentes (011)",1607,257,1002,195,30,,11,29,83
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",313,56,193,29,12,1,5,1,16
"Ocupantes presentes (014)",1251,254,773,94,50,3,23,1,53
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",3,,,,,,,,3
"Ocupantes presentes (017)",13,,,,,,,,13
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",1866,810,793,139,47,2,1,,74
"Ocupantes presentes (020)",6470,2806,2762,488,136,8,5,,265
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",87,22,39,11,6,,,1,8
"Ocupantes presentes (023)",216,60,87,19,21,,,6,23
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",3,,3,,,,,,
"Ocupantes presentes (026)",9,,9,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",66578,20315,30446,5479,3023,393,324,320,6278
"Ocupantes presentes (029)",301426,91650,140618,24453,13042,1696,1434,1418,27115
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",62932,19245,28718,5178,2910,387,314,305,5875
"Ocupantes presentes (032)",288611,87871,134457,23386,12676,1676,1387,1358,25800
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",933,109,426,71,40,3,2,7,275
"Ocupantes presentes (035)",3262,402,1528,271,129,9,8,24,891
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",444,73,274,51,8,,2,6,30
"Ocupantes presentes (038)",1607,257,1002,195,30,,11,29,83
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",313,56,193,29,12,1,5,1,16
"Ocupantes presentes (041)",1251,254,773,94,50,3,23,1,53
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",1866,810,793,139,47,2,1,,74
"Ocupantes presentes (047)",6470,2806,2762,488,136,8,5,,265
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",87,22,39,11,6,,,1,8
"Ocupantes presentes (050)",216,60,87,19,21,,,6,23
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",3,,3,,,,,,
"Ocupantes presentes (053)",9,,9,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",1375,142,287,64,76,1,,1,804
"Ocupantes presentes (056)",5753,528,1174,285,352,5,,2,3407
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",1372,142,287,64,76,1,,1,801
"Ocupantes presentes (059)",5740,528,1174,285,352,5,,2,3394
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",3,,,,,,,,3
"Ocupantes presentes (071)",13,,,,,,,,13
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
