"CUADRO Nº 18: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia YAULI (000)",13427,11475,1952
"Red pública de desague dentro de la vivienda (001)",6673,6425,248
"Red pública de desague fuera de la vivienda (002)",2629,2435,194
"Pozo séptico (003)",271,187,84
"Pozo ciego o negro / letrina (004)",352,223,129
"Río, acequia o canal (005)",320,275,45
"No tiene (006)",3182,1930,1252
,,,
"URBANA (008)",11405,10656,749
"Red pública de desague dentro de la vivienda (009)",6394,6180,214
"Red pública de desague fuera de la vivienda (010)",2504,2321,183
"Pozo séptico (011)",91,80,11
"Pozo ciego o negro / letrina (012)",183,155,28
"Río, acequia o canal (013)",288,259,29
"No tiene (014)",1945,1661,284
,,,
"RURAL (016)",2022,819,1203
"Red pública de desague dentro de la vivienda (017)",279,245,34
"Red pública de desague fuera de la vivienda (018)",125,114,11
"Pozo séptico (019)",180,107,73
"Pozo ciego o negro / letrina (020)",169,68,101
"Río, acequia o canal (021)",32,16,16
"No tiene (022)",1237,269,968
