"CUADRO Nº 12: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE SI DISPONEN DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA POTABLE",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia DATEM DEL MARAÑON",,,,,,,,,
"Viviendas particulares (001)",307,101,54,4,3,,,,145
"Ocupantes presentes (002)",1380,423,274,18,18,,,,647
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",279,82,54,4,3,,,,136
"Ocupantes presentes (005)",1278,361,274,18,18,,,,607
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",25,19,,,,,,,6
"Ocupantes presentes (011)",87,62,,,,,,,25
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",3,,,,,,,,3
"Ocupantes presentes (014)",15,,,,,,,,15
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",233,58,51,4,,,,,120
"Ocupantes presentes (029)",1076,254,257,18,,,,,547
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",205,39,51,4,,,,,111
"Ocupantes presentes (032)",974,192,257,18,,,,,507
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",25,19,,,,,,,6
"Ocupantes presentes (038)",87,62,,,,,,,25
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",3,,,,,,,,3
"Ocupantes presentes (041)",15,,,,,,,,15
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",74,43,3,,3,,,,25
"Ocupantes presentes (056)",304,169,17,,18,,,,100
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",74,43,3,,3,,,,25
"Ocupantes presentes (059)",304,169,17,,18,,,,100
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
