"CUADRO Nº 9: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA",,,,,,,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)","CAMIÓN-CISTERNA U OTRO SIMILAR",POZO,"RÍO, ACEQUIA, MANANTIAL O SIMILAR",VECINO,OTRO
,,,,,,,,,
"Provincia BELLAVISTA",,,,,,,,,
"Viviendas particulares (001)",11400,2914,701,84,12,1195,6137,296,61
"Ocupantes presentes (002)",48716,11891,2992,329,48,5208,26884,1111,253
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",9538,2777,670,79,10,1051,4619,278,54
"Ocupantes presentes (005)",41027,11457,2901,311,39,4597,20444,1041,237
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",8,8,,,,,,,
"Ocupantes presentes (008)",33,33,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",141,111,24,,,,,6,
"Ocupantes presentes (011)",442,350,78,,,,,14,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",32,10,7,,,2,13,,
"Ocupantes presentes (014)",94,30,13,,,16,35,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",1634,,,5,2,140,1478,5,4
"Ocupantes presentes (017)",6941,,,18,9,585,6300,20,9
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",26,3,,,,1,16,4,2
"Ocupantes presentes (020)",109,10,,,,6,71,16,6
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",16,5,,,,1,8,1,1
"Ocupantes presentes (023)",57,11,,,,4,31,10,1
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",5,,,,,,3,2,
"Ocupantes presentes (026)",13,,,,,,3,10,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",6261,2730,688,31,5,698,1797,265,47
"Ocupantes presentes (029)",26604,11139,2928,124,18,3079,8140,976,200
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",6042,2595,657,31,5,694,1764,252,44
"Ocupantes presentes (032)",25883,10710,2837,124,18,3053,8022,926,193
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",8,8,,,,,,,
"Ocupantes presentes (035)",33,33,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",141,111,24,,,,,6,
"Ocupantes presentes (038)",442,350,78,,,,,14,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",32,10,7,,,2,13,,
"Ocupantes presentes (041)",94,30,13,,,16,35,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",26,3,,,,1,16,4,2
"Ocupantes presentes (047)",109,10,,,,6,71,16,6
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",8,3,,,,1,2,1,1
"Ocupantes presentes (050)",31,6,,,,4,10,10,1
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",4,,,,,,2,2,
"Ocupantes presentes (053)",12,,,,,,2,10,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",5139,184,13,53,7,497,4340,31,14
"Ocupantes presentes (056)",22112,752,64,205,30,2129,18744,135,53
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",3496,182,13,48,5,357,2855,26,10
"Ocupantes presentes (059)",15144,747,64,187,21,1544,12422,115,44
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",1634,,,5,2,140,1478,5,4
"Ocupantes presentes (071)",6941,,,18,9,585,6300,20,9
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",8,2,,,,,6,,
"Ocupantes presentes (077)",26,5,,,,,21,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (079)",1,,,,,,1,,
"Ocupantes presentes (080)",1,,,,,,1,,
