"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia BAGUA (000)",24147,23340,7041,3225,3014,2428,3353,2035,2244,807
"Católica (001)",12327,11822,3546,1850,1681,1292,1542,918,993,505
"Cristiana/Evangélica (002)",7648,7470,2205,811,860,714,1206,766,908,178
"Otra (003)",2299,2229,692,270,246,227,343,218,233,70
"Ninguna (004)",1873,1819,598,294,227,195,262,133,110,54
,,,,,,,,,,
"URBANA (006)",12688,12107,3769,1950,1736,1346,1652,853,801,581
"Católica (007)",8189,7778,2382,1344,1197,919,966,509,461,411
"Cristiana/Evangélica (008)",2964,2864,872,362,353,280,479,258,260,100
"Otra (009)",888,849,286,121,103,87,135,57,60,39
"Ninguna (010)",647,616,229,123,83,60,72,29,20,31
,,,,,,,,,,
"RURAL (012)",11459,11233,3272,1275,1278,1082,1701,1182,1443,226
"Católica (013)",4138,4044,1164,506,484,373,576,409,532,94
"Cristiana/Evangélica (014)",4684,4606,1333,449,507,434,727,508,648,78
"Otra (015)",1411,1380,406,149,143,140,208,161,173,31
"Ninguna (016)",1226,1203,369,171,144,135,190,104,90,23
