"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia REQUENA (000)",14791,676,8466,2820,651,236,118,49,5,,1770
"Conviviente (001)",8797,444,5215,1579,360,115,52,17,1,,1014
"Separado(a) (002)",496,20,276,108,24,11,2,3,,,52
"Casado(a) (003)",3794,149,2180,804,194,79,47,22,2,,317
"Viudo(a) (004)",570,24,302,117,29,16,9,7,1,,65
"Divorciado(a) (005)",24,1,14,3,1,1,1,,,,3
"Soltero(a) (006)",1110,38,479,209,43,14,7,,1,,319
,,,,,,,,,,,
"URBANA (008)",8746,301,4606,1928,476,179,84,37,3,,1132
"Conviviente (009)",4847,183,2670,1033,260,81,38,14,,,568
"Separado(a) (010)",335,10,179,78,17,10,2,2,,,37
"Casado(a) (011)",2335,75,1222,568,141,60,29,16,1,,223
"Viudo(a) (012)",347,11,167,77,22,14,9,5,1,,41
"Divorciado(a) (013)",14,1,6,3,,1,,,,,3
"Soltero(a) (014)",868,21,362,169,36,13,6,,1,,260
,,,,,,,,,,,
"RURAL (016)",6045,375,3860,892,175,57,34,12,2,,638
"Conviviente (017)",3950,261,2545,546,100,34,14,3,1,,446
"Separado(a) (018)",161,10,97,30,7,1,,1,,,15
"Casado(a) (019)",1459,74,958,236,53,19,18,6,1,,94
"Viudo(a) (020)",223,13,135,40,7,2,,2,,,24
"Divorciado(a) (021)",10,,8,,1,,1,,,,
"Soltero(a) (022)",242,17,117,40,7,1,1,,,,59
