"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia OYON (000)",252,75,177
"De 14 a 29 años (001)",155,63,92
"De 30 a 44 años (002)",59,10,49
"De 45 a 64 años (003)",31,2,29
"De 65 y más años (004)",7,,7
"Hombres (005)",201,50,151
"De 14 a 29 años (006)",120,42,78
"De 30 a 44 años (007)",47,6,41
"De 45 a 64 años (008)",29,2,27
"De 65 y más años (009)",5,,5
"Mujeres (010)",51,25,26
"De 14 a 29 años (011)",35,21,14
"De 30 a 44 años (012)",12,4,8
"De 45 a 64 años (013)",2,,2
"De 65 y más años (014)",2,,2
,,,
"AREA URBANA (015)",166,45,121
"De 14 a 29 años (016)",97,38,59
"De 30 a 44 años (017)",44,6,38
"De 45 a 64 años (018)",21,1,20
"De 65 y más años (019)",4,,4
"Hombres (020)",129,28,101
"De 14 a 29 años (021)",73,24,49
"De 30 a 44 años (022)",34,3,31
"De 45 a 64 años (023)",19,1,18
"De 65 y más años (024)",3,,3
"Mujeres (025)",37,17,20
"De 14 a 29 años (026)",24,14,10
"De 30 a 44 años (027)",10,3,7
"De 45 a 64 años (028)",2,,2
"De 65 y más años (029)",1,,1
,,,
"AREA RURAL (030)",86,30,56
"De 14 a 29 años (031)",58,25,33
"De 30 a 44 años (032)",15,4,11
"De 45 a 64 años (033)",10,1,9
"De 65 y más años (034)",3,,3
"Hombres (035)",72,22,50
"De 14 a 29 años (036)",47,18,29
"De 30 a 44 años (037)",13,3,10
"De 45 a 64 años (038)",10,1,9
"De 65 y más años (039)",2,,2
"Mujeres (040)",14,8,6
"De 14 a 29 años (041)",11,7,4
"De 30 a 44 años (042)",2,1,1
"De 65 y más años (044)",1,,1
