"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia RECUAY (000)",7598,7360,2105,920,889,728,1133,751,458,376,238,22859
"De 12 a 14 años (001)",561,559,558,1,,,,,,,2,1
"De 15 a 19 años (002)",860,855,774,70,9,2,,,,,5,94
"De 20 a 24 años (003)",747,687,331,226,104,25,1,,,,60,513
"De 25 a 29 años (004)",740,665,162,222,169,72,37,3,,,75,954
"De 30 a 34 años (005)",578,551,68,118,146,112,92,12,3,,27,1250
"De 35 a 39 años (006)",609,589,42,80,138,127,147,40,12,3,20,1754
"De 40 a 44 años (007)",560,553,31,43,95,96,180,74,27,7,7,2088
"De 45 a 49 años (008)",484,473,23,31,51,73,143,103,28,21,11,2140
"De 50 y más años (009)",2459,2428,116,129,177,221,533,519,388,345,31,14065
"PEA (010)",1650,1550,395,273,258,173,222,124,59,46,100,4110
"De 12 a 14 años (011)",17,17,17,,,,,,,,,
"De 15 a 19 años (012)",95,95,83,9,3,,,,,,,15
"De 20 a 24 años (013)",188,167,98,39,24,6,,,,,21,105
"De 25 a 29 años (014)",250,215,78,78,42,12,5,,,,35,220
"De 30 a 34 años (015)",202,185,42,52,46,30,12,2,1,,17,308
"De 35 a 39 años (016)",189,177,22,32,55,31,32,4,,1,12,407
"De 40 a 44 años (017)",159,157,12,17,36,29,36,20,4,3,2,528
"De 45 a 49 años (018)",143,136,12,16,17,19,41,22,6,3,7,510
"De 50 y más años (019)",407,401,31,30,35,46,96,76,48,39,6,2017
"Ocupada (020)",1558,1467,355,253,247,169,218,122,58,45,91,4008
"De 12 a 14 años (021)",17,17,17,,,,,,,,,
"De 15 a 19 años (022)",81,81,69,9,3,,,,,,,15
"De 20 a 24 años (023)",165,146,87,32,21,6,,,,,19,92
