"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia HUALLAGA (000)",5940,24441,3218,13274,2722,11167
"Casa independiente (001)",4998,20841,3150,12976,1848,7865
"Vivienda en quinta (003)",35,139,35,139,,
"Vivienda en casa de vecindad (004)",21,117,21,117,,
"Choza o cabaña (005)",874,3302,,,874,3302
"Vivienda improvisada (006)",2,10,2,10,,
"Local no dest.para hab. humana (007)",6,22,6,22,,
"Otro tipo (008)",4,10,4,10,,
