"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia SAN PABLO (000)",6208,105,2575,2077,577,222,100,24,2,,526
"Sin Nivel (001)",2105,40,910,724,183,74,30,11,,,133
"Educación Inicial (002)",5,1,2,,,,,,,,2
"Primaria (003)",3001,55,1316,980,260,93,47,8,2,,240
"Secundaria (004)",730,9,303,236,56,22,13,1,,,90
"Sup. no Univ. Incompleta (005)",72,,10,37,11,1,1,,,,12
"Sup. no Univ. Completa (006)",231,,30,79,46,25,7,2,,,42
"Sup. Univ. Incompleta (007)",12,,2,5,4,,,,,,1
"Sup. Univ. Completa (008)",52,,2,16,17,7,2,2,,,6
,,,,,,,,,,,
"URBANA (010)",1004,8,319,350,131,61,25,11,1,,98
"Sin Nivel (011)",138,5,47,47,13,4,3,2,,,17
"Primaria (013)",352,2,137,115,36,21,10,4,1,,26
"Secundaria (014)",230,1,94,85,22,6,6,1,,,15
"Sup. no Univ. Incompleta (015)",50,,10,23,8,1,1,,,,7
"Sup. no Univ. Completa (016)",179,,27,60,37,22,3,2,,,28
"Sup. Univ. Incompleta (017)",10,,2,5,3,,,,,,
"Sup. Univ. Completa (018)",45,,2,15,12,7,2,2,,,5
,,,,,,,,,,,
"RURAL (020)",5204,97,2256,1727,446,161,75,13,1,,428
"Sin Nivel (021)",1967,35,863,677,170,70,27,9,,,116
"Educación Inicial (022)",5,1,2,,,,,,,,2
"Primaria (023)",2649,53,1179,865,224,72,37,4,1,,214
"Secundaria (024)",500,8,209,151,34,16,7,,,,75
"Sup. no Univ. Incompleta (025)",22,,,14,3,,,,,,5
"Sup. no Univ. Completa (026)",52,,3,19,9,3,4,,,,14
"Sup. Univ. Incompleta (027)",2,,,,1,,,,,,1
"Sup. Univ. Completa (028)",7,,,1,5,,,,,,1
