"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ACOBAMBA (000)",59428,12320,2014,27301,14864,762,657,684,826
"Jefe o Jefa (001)",15038,3435,19,6600,3843,212,310,182,437
"Esposa(o)/ compa¤era(o) (002)",10340,3510,25,4747,1620,87,149,45,157
"Hijo(a)/ hijastro(a) (003)",29866,4313,1788,14246,8474,396,140,358,151
"Yerno/ nuera (004)",348,19,1,150,135,8,11,8,16
"Nieto(a) (005)",1020,222,119,504,158,4,,9,4
"Padres/ suegros (006)",400,287,,97,14,,1,,1
"Otro(a) pariente (007)",2083,478,58,865,546,42,33,37,24
"Trabajador(a) del hogar (008)",30,5,,16,8,,,1,
"Pensionista (009)",9,,,1,2,,1,1,4
"Otro(a) no pariente (010)",294,51,4,75,64,13,12,43,32
"Hombres (012)",29148,4078,995,13345,8975,464,374,427,490
"Jefe o Jefa (013)",11474,1541,14,5534,3457,174,256,141,357
"Esposa(o)/ compa¤era(o) (014)",449,53,,184,159,10,16,11,16
"Hijo(a)/ hijastro(a) (015)",15266,2112,889,6808,4868,242,71,210,66
"Yerno/ nuera (016)",120,2,,37,53,4,6,7,11
"Nieto(a) (017)",515,112,69,242,81,3,,7,1
"Padres/ suegros (018)",117,50,,56,10,,,,1
"Otro(a) pariente (019)",1045,194,21,444,305,27,15,23,16
"Trabajador(a) del hogar (020)",10,,,6,3,,,1,
"Pensionista (021)",5,,,,1,,1,,3
"Otro(a) no pariente (022)",147,14,2,34,38,4,9,27,19
"Mujeres (024)",30280,8242,1019,13956,5889,298,283,257,336
"Jefe o Jefa (025)",3564,1894,5,1066,386,38,54,41,80
"Esposa(o)/ compa¤era(o) (026)",9891,3457,25,4563,1461,77,133,34,141
"Hijo(a)/ hijastro(a) (027)",14600,2201,899,7438,3606,154,69,148,85
"Yerno/ nuera (028)",228,17,1,113,82,4,5,1,5
"Nieto(a) (029)",505,110,50,262,77,1,,2,3
"Padres/ suegros (030)",283,237,,41,4,,1,,
"Otro(a) pariente (031)",1038,284,37,421,241,15,18,14,8
"Trabajador(a) del hogar (032)",20,5,,10,5,,,,
"Pensionista (033)",4,,,1,1,,,1,1
"Otro(a) no pariente (034)",147,37,2,41,26,9,3,16,13
,,,,,,,,,
"URBANA (036)",17916,2670,577,7085,5496,462,466,503,657
"Jefe o Jefa (037)",4810,696,5,1775,1492,139,212,145,346
"Esposa(o)/ compa¤era(o) (038)",3031,628,8,1289,739,66,129,39,133
"Hijo(a)/ hijastro(a) (039)",8575,1043,495,3524,2871,207,85,243,107
"Yerno/ nuera (040)",110,3,,27,51,5,6,3,15
"Nieto(a) (041)",309,71,46,122,59,1,,7,3
"Padres/ suegros (042)",152,89,,51,10,,1,,1
"Otro(a) pariente (043)",713,111,21,251,230,31,23,25,21
"Trabajador(a) del hogar (044)",21,2,,12,6,,,1,
"Pensionista (045)",7,,,1,1,,1,1,3
"Otro(a) no pariente (046)",188,27,2,33,37,13,9,39,28
"Hombres (048)",8720,879,276,3343,3044,253,241,301,383
