"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CHINCHA (000)",75318,39223,7071,9574,19450
"Sin nivel (001)",908,724,72,50,62
"Educación inicial (002)",51,27,3,7,14
"Primaria (003)",12324,8907,1004,920,1493
"Secundaria (004)",35397,19328,3087,3757,9225
"Superior no univ. incompleta (005)",6056,2906,591,802,1757
"Superior no univ. completa (006)",10878,3731,1236,2315,3596
"Superior univ. incompleta (007)",3008,1418,337,405,848
"Superior univ. completa (008)",6696,2182,741,1318,2455
"De 06 a 14 años (010)",778,656,80,27,15
"Sin nivel (011)",10,9,,1,
"Educación inicial (012)",6,5,,1,
"Primaria (013)",395,338,41,12,4
"Secundaria (014)",367,304,39,13,11
"De 15 a 29 años (020)",26112,11337,2595,3672,8508
"Sin nivel (021)",91,58,14,7,12
"Educación inicial (022)",30,15,1,4,10
"Primaria (023)",1814,998,184,261,371
"Secundaria (024)",14320,6636,1293,1735,4656
"Superior no univ. incompleta (025)",2893,1223,304,404,962
"Superior no univ. completa (026)",3995,1303,460,742,1490
"Superior univ. incompleta (027)",1283,578,142,179,384
"Superior univ. completa (028)",1686,526,197,340,623
"De 30 a 44 años (030)",27978,13516,2605,3984,7873
"Sin nivel (031)",215,147,15,22,31
"Educación inicial (032)",15,7,2,2,4
"Primaria (033)",3221,1964,279,303,675
"Secundaria (034)",13168,7135,1085,1411,3537
"Superior no univ. incompleta (035)",2240,1119,207,317,597
"Superior no univ. completa (036)",4994,1702,563,1148,1581
"Superior univ. incompleta (037)",1072,478,112,170,312
"Superior univ. completa (038)",3053,964,342,611,1136
"De 45 a 64 años (040)",17549,11204,1644,1785,2916
"Sin nivel (041)",372,306,32,17,17
"Primaria (043)",5091,3971,427,299,394
"Secundaria (044)",6996,4794,635,571,996
"Superior no univ. incompleta (045)",877,529,79,80,189
"Superior no univ. completa (046)",1800,672,204,416,508
"Superior univ. incompleta (047)",616,336,80,53,147
"Superior univ. completa (048)",1797,596,187,349,665
"De 65 y más años (050)",2901,2510,147,106,138
"Sin nivel (051)",220,204,11,3,2
"Primaria (053)",1803,1636,73,45,49
"Secundaria (054)",546,459,35,27,25
"Superior no univ. incompleta (055)",46,35,1,1,9
"Superior no univ. completa (056)",89,54,9,9,17
