"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia LAURICOCHA (000)",9358,548,8,3326,3813,321,603,166,573
"Agric., ganadería, caza y silvicultura (001)",5860,474,7,2776,2312,105,88,39,59
"Pesca (002)",5,,,1,4,,,,
"Explotación de minas y canteras (003)",1272,,,102,777,83,152,52,106
"Industrias manufactureras (004)",102,6,,27,53,5,4,2,5
"Suministro de electricidad, gas y agua (005)",8,1,,,3,2,2,,
"Construcción (006)",156,2,,42,77,10,3,4,18
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",492,12,,146,234,31,32,17,20
"Venta, mant.y rep. veh.autom.y motoc. (008)",14,,,3,7,,3,,1
"Comercio al por mayor (009)",27,,,9,9,2,2,1,4
"Comercio al por menor (010)",451,12,,134,218,29,27,16,15
"Hoteles y restaurantes (011)",138,5,,50,69,5,3,3,3
"Trans., almac. y comunicaciones (012)",102,,,12,67,6,10,4,3
"Intermediación financiera (013)",1,,,,1,,,,
"Activid.inmobil., empres. y de alquiler (014)",37,,,1,7,5,1,1,22
"Admin.pub. y defensa; p. segur.soc.afil (015)",132,,,18,44,3,26,9,32
"Enseñanza (016)",579,,,3,27,41,234,20,254
"Servicios sociales y de salud (017)",77,,,,,4,25,7,41
"Otras activ. serv.comun.soc y personales (018)",44,4,,5,20,4,6,1,4
"Hogares privados con servicio doméstico (019)",124,21,1,53,43,1,4,1,
"Actividad economica no especificada (021)",229,23,,90,75,16,13,6,6
"Hombres (022)",7062,268,3,2327,3195,268,443,134,424
"Agric., ganadería, caza y silvicultura (023)",4515,248,3,2025,1986,98,74,35,46
"Pesca (024)",5,,,1,4,,,,
"Explotación de minas y canteras (025)",1230,,,101,762,78,147,47,95
"Industrias manufactureras (026)",82,3,,21,46,5,2,1,4
"Suministro de electricidad, gas y agua (027)",6,,,,2,2,2,,
"Construcción (028)",153,2,,42,75,10,3,4,17
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",268,6,,70,133,18,16,11,14
"Venta, mant.y rep. veh.autom.y motoc. (030)",11,,,1,7,,3,,
"Comercio al por mayor (031)",12,,,2,5,2,1,,2
"Comercio al por menor (032)",245,6,,67,121,16,12,11,12
"Hoteles y restaurantes (033)",32,1,,4,21,2,1,1,2
"Trans., almac. y comunicaciones (034)",99,,,12,65,6,10,4,2
"Intermediación financiera (035)",1,,,,1,,,,
"Activid.inmobil., empres. y de alquiler (036)",32,,,1,6,5,1,1,18
"Admin.pub. y defensa; p. segur.soc.afil (037)",107,,,18,37,2,18,8,24
"Enseñanza (038)",374,,,2,16,27,142,14,173
"Servicios sociales y de salud (039)",41,,,,,2,14,3,22
"Otras activ. serv.comun.soc y personales (040)",20,,,,9,3,5,,3
"Hogares privados con servicio doméstico (041)",15,8,,5,2,,,,
"Actividad economica no especificada (043)",82,,,25,30,10,8,5,4
"Mujeres (044)",2296,280,5,999,618,53,160,32,149
"Agric., ganadería, caza y silvicultura (045)",1345,226,4,751,326,7,14,4,13
"Explotación de minas y canteras (047)",42,,,1,15,5,5,5,11
