"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia YAUYOS (000)",27501,423,7564,5752,5712,4599,3451
"Hombres (001)",14983,218,3892,3318,3383,2516,1656
"Mujeres (002)",12518,205,3672,2434,2329,2083,1795
"Viviendas particulares (003)",25093,422,7554,4861,4603,4214,3439
"Hombres (004)",12685,218,3885,2483,2315,2138,1646
"Mujeres (005)",12408,204,3669,2378,2288,2076,1793
"Viviendas colectivas (006)",2354,1,10,874,1083,376,10
"Hombres (007)",2247,,7,820,1043,369,8
"Mujeres (008)",107,1,3,54,40,7,2
"Otro tipo (009)",54,,,17,26,9,2
"Hombres (010)",51,,,15,25,9,2
"Mujeres (011)",3,,,2,1,,
,,,,,,,
"URBANA (012)",15727,217,4538,3124,3079,2606,2163
"Hombres (013)",7982,109,2343,1630,1550,1339,1011
"Mujeres (014)",7745,108,2195,1494,1529,1267,1152
"Viviendas particulares (015)",15451,216,4533,3020,2957,2567,2158
"Hombres (016)",7739,109,2339,1539,1445,1300,1007
"Mujeres (017)",7712,107,2194,1481,1512,1267,1151
"Viviendas colectivas (018)",222,1,5,87,96,30,3
"Hombres (019)",192,,4,76,80,30,2
"Mujeres (020)",30,1,1,11,16,,1
"Otro tipo (021)",54,,,17,26,9,2
"Hombres (022)",51,,,15,25,9,2
"Mujeres (023)",3,,,2,1,,
,,,,,,,
"RURAL (024)",11774,206,3026,2628,2633,1993,1288
"Hombres (025)",7001,109,1549,1688,1833,1177,645
"Mujeres (026)",4773,97,1477,940,800,816,643
"Viviendas particulares (027)",9642,206,3021,1841,1646,1647,1281
"Hombres (028)",4946,109,1546,944,870,838,639
"Mujeres (029)",4696,97,1475,897,776,809,642
"Viviendas colectivas (030)",2132,,5,787,987,346,7
"Hombres (031)",2055,,3,744,963,339,6
"Mujeres (032)",77,,2,43,24,7,1
