"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUANCANE (000)",19461,18793,105,2961,3347,3052,5006,2998,1084,240,668,71892
"De 12 a 14 años (001)",20,9,3,6,,,,,,,11,6
"De 15 a 19 años (002)",293,248,8,209,25,6,,,,,45,277
"De 20 a 24 años (003)",1316,1105,15,704,303,66,16,1,,,211,1579
"De 25 a 29 años (004)",1728,1579,4,518,622,299,128,8,,,149,3247
"De 30 a 34 años (005)",1783,1729,4,335,562,437,335,52,4,,54,4594
"De 35 a 39 años (006)",1863,1809,7,213,368,450,540,204,24,3,54,6179
"De 40 a 44 años (007)",1862,1821,5,162,290,366,579,300,104,15,41,7361
"De 45 a 49 años (008)",1651,1622,4,132,194,269,517,350,120,36,29,7291
"De 50 y más años (009)",8945,8871,55,682,983,1159,2891,2083,832,186,74,41358
"PEA (010)",7990,7685,36,1333,1439,1231,1938,1174,442,92,305,28727
"De 12 a 14 años (011)",2,2,1,1,,,,,,,,1
"De 15 a 19 años (012)",117,99,2,88,7,2,,,,,18,108
"De 20 a 24 años (013)",513,427,5,259,129,28,5,1,,,86,628
"De 25 a 29 años (014)",756,680,2,254,254,115,52,3,,,76,1347
"De 30 a 34 años (015)",850,816,1,200,259,176,154,24,2,,34,2087
"De 35 a 39 años (016)",830,800,2,109,170,196,225,84,12,2,30,2673
"De 40 a 44 años (017)",890,866,2,85,157,182,252,142,41,5,24,3360
"De 45 a 49 años (018)",792,776,1,72,108,128,246,147,61,13,16,3373
"De 50 y más años (019)",3240,3219,20,265,355,404,1004,773,326,72,21,15150
"Ocupada (020)",7883,7594,35,1294,1419,1218,1926,1170,440,92,289,28514
"De 12 a 14 años (021)",2,2,1,1,,,,,,,,1
