"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia MOHO (000)",26447,1052,6475,4223,2923,2917,2576,2330,3951
"Quechua (001)",146,2,13,28,39,27,20,7,10
"Aymara (002)",22592,697,4768,3392,2542,2646,2413,2262,3872
"Ashaninca (003)",41,2,9,6,4,5,4,6,5
"Otra lengua nativa (004)",3,,3,,,,,,
"Castellano (005)",3624,349,1678,790,331,232,133,52,59
"Es sordomudo/a (007)",41,2,4,7,7,7,6,3,5
"Hombres (009)",12983,555,3337,2180,1377,1405,1230,1063,1836
"Quechua (010)",74,,8,11,19,16,13,2,5
"Aymara (011)",10917,367,2440,1730,1182,1245,1136,1028,1789
"Ashaninca (012)",27,2,8,2,2,3,3,3,4
"Otra lengua nativa (013)",1,,1,,,,,,
"Castellano (014)",1946,186,877,433,171,137,76,29,37
"Es sordomudo/a (016)",18,,3,4,3,4,2,1,1
"Mujeres (018)",13464,497,3138,2043,1546,1512,1346,1267,2115
"Quechua (019)",72,2,5,17,20,11,7,5,5
"Aymara (020)",11675,330,2328,1662,1360,1401,1277,1234,2083
"Ashaninca (021)",14,,1,4,2,2,1,3,1
"Otra lengua nativa (022)",2,,2,,,,,,
"Castellano (023)",1678,163,801,357,160,95,57,23,22
"Es sordomudo/a (025)",23,2,1,3,4,3,4,2,4
,,,,,,,,,
"URBANA (027)",7560,306,1928,1427,1050,965,730,505,649
"Quechua (028)",71,1,6,15,19,13,11,3,3
"Aymara (029)",5700,175,1201,1012,821,786,623,473,609
"Ashaninca (030)",21,,4,3,4,3,2,2,3
"Otra lengua nativa (031)",1,,1,,,,,,
"Castellano (032)",1762,129,714,395,206,163,94,27,34
"Es sordomudo/a (034)",5,1,2,2,,,,,
"Hombres (036)",3900,160,987,761,509,488,395,269,331
"Quechua (037)",40,,3,7,10,9,9,1,1
"Aymara (038)",2901,87,608,545,395,380,333,249,304
"Ashaninca (039)",16,,4,1,2,2,2,2,3
"Castellano (041)",940,73,370,207,102,97,51,17,23
"Es sordomudo/a (043)",3,,2,1,,,,,
"Mujeres (045)",3660,146,941,666,541,477,335,236,318
"Quechua (046)",31,1,3,8,9,4,2,2,2
"Aymara (047)",2799,88,593,467,426,406,290,224,305
"Ashaninca (048)",5,,,2,2,1,,,
"Otra lengua nativa (049)",1,,1,,,,,,
"Castellano (050)",822,56,344,188,104,66,43,10,11
"Es sordomudo/a (052)",2,1,,1,,,,,
,,,,,,,,,
"RURAL (054)",18887,746,4547,2796,1873,1952,1846,1825,3302
"Quechua (055)",75,1,7,13,20,14,9,4,7
"Aymara (056)",16892,522,3567,2380,1721,1860,1790,1789,3263
"Ashaninca (057)",20,2,5,3,,2,2,4,2
"Otra lengua nativa (058)",2,,2,,,,,,
"Castellano (059)",1862,220,964,395,125,69,39,25,25
"Es sordomudo/a (061)",36,1,2,5,7,7,6,3,5
"Hombres (063)",9083,395,2350,1419,868,917,835,794,1505
"Quechua (064)",34,,5,4,9,7,4,1,4
"Aymara (065)",8016,280,1832,1185,787,865,803,779,1485
"Ashaninca (066)",11,2,4,1,,1,1,1,1
"Otra lengua nativa (067)",1,,1,,,,,,
"Castellano (068)",1006,113,507,226,69,40,25,12,14
"Es sordomudo/a (070)",15,,1,3,3,4,2,1,1
"Mujeres (072)",9804,351,2197,1377,1005,1035,1011,1031,1797
"Quechua (073)",41,1,2,9,11,7,5,3,3
"Aymara (074)",8876,242,1735,1195,934,995,987,1010,1778
"Ashaninca (075)",9,,1,2,,1,1,3,1
"Otra lengua nativa (076)",1,,1,,,,,,
"Castellano (077)",856,107,457,169,56,29,14,13,11
"Es sordomudo/a (079)",21,1,1,2,4,3,4,2,4
