"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia ANTA (000)",14526,273,6201,4432,1195,421,192,59,14,,1739
"Catolica (001)",13120,252,5619,3992,1095,384,176,52,13,,1537
"Cristiana / Evangelica (002)",1132,19,476,350,79,30,15,7,,,156
"Otra (003)",201,1,83,67,13,5,1,,1,,30
"Ninguna (004)",73,1,23,23,8,2,,,,,16
,,,,,,,,,,,
"URBANA (006)",5282,86,1967,1604,532,200,95,29,5,,764
"Catolica (007)",4855,78,1814,1474,500,178,90,26,4,,691
"Cristiana / Evangelica (008)",297,6,112,88,21,16,5,3,,,46
"Otra (009)",92,1,32,29,6,5,,,1,,18
"Ninguna (010)",38,1,9,13,5,1,,,,,9
,,,,,,,,,,,
"RURAL (012)",9244,187,4234,2828,663,221,97,30,9,,975
"Catolica (013)",8265,174,3805,2518,595,206,86,26,9,,846
"Cristiana / Evangelica (014)",835,13,364,262,58,14,10,4,,,110
"Otra (015)",109,,51,38,7,,1,,,,12
"Ninguna (016)",35,,14,10,3,1,,,,,7
