"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia HUANUCO (000)",250801,43893,5840,92616,64011,6986,7880,12880,16695
"Jefe o Jefa (001)",63827,10752,51,22542,15582,1810,2756,3368,6966
"Esposa(o)/ compa¤era(o) (002)",37651,9583,62,12489,8300,931,1759,1245,3282
"Hijo(a)/ hijastro(a) (003)",107198,15334,4354,43221,28719,2920,2300,5913,4437
"Yerno/ nuera (004)",3337,156,4,680,1343,206,249,243,456
"Nieto(a) (005)",12844,2979,967,5640,2414,187,91,430,136
"Padres/ suegros (006)",3568,1799,1,1253,348,15,37,26,89
"Otro(a) pariente (007)",17121,2478,342,5387,5587,669,487,1235,936
"Trabajador(a) del hogar (008)",739,67,2,281,351,16,5,12,5
"Pensionista (009)",317,27,,63,100,28,12,51,36
"Otro(a) no pariente (010)",4199,718,57,1060,1267,204,184,357,352
"Hombres (012)",122356,16682,2946,46939,33944,3396,3225,6849,8375
"Jefe o Jefa (013)",43750,5297,32,16564,11389,1240,1716,2353,5159
"Esposa(o)/ compa¤era(o) (014)",2707,387,7,841,821,99,114,198,240
"Hijo(a)/ hijastro(a) (015)",55628,7658,2231,22532,15903,1411,941,3027,1925
"Yerno/ nuera (016)",1528,51,2,292,573,93,101,142,274
"Nieto(a) (017)",6599,1475,484,2907,1321,91,41,223,57
"Padres/ suegros (018)",1030,357,,464,134,10,15,8,42
"Otro(a) pariente (019)",8739,1087,168,2731,3054,337,211,677,474
"Trabajador(a) del hogar (020)",141,19,,41,67,3,2,6,3
"Pensionista (021)",170,15,,36,52,11,6,26,24
"Otro(a) no pariente (022)",2064,336,22,531,630,101,78,189,177
"Mujeres (024)",128445,27211,2894,45677,30067,3590,4655,6031,8320
"Jefe o Jefa (025)",20077,5455,19,5978,4193,570,1040,1015,1807
"Esposa(o)/ compa¤era(o) (026)",34944,9196,55,11648,7479,832,1645,1047,3042
"Hijo(a)/ hijastro(a) (027)",51570,7676,2123,20689,12816,1509,1359,2886,2512
"Yerno/ nuera (028)",1809,105,2,388,770,113,148,101,182
"Nieto(a) (029)",6245,1504,483,2733,1093,96,50,207,79
"Padres/ suegros (030)",2538,1442,1,789,214,5,22,18,47
"Otro(a) pariente (031)",8382,1391,174,2656,2533,332,276,558,462
"Trabajador(a) del hogar (032)",598,48,2,240,284,13,3,6,2
"Pensionista (033)",147,12,,27,48,17,6,25,12
"Otro(a) no pariente (034)",2135,382,35,529,637,103,106,168,175
,,,,,,,,,
"URBANA (036)",152482,14063,3580,43025,49154,6466,7520,12446,16228
"Jefe o Jefa (037)",39397,2372,17,10111,12548,1683,2643,3260,6763
"Esposa(o)/ compa¤era(o) (038)",21648,2018,26,5788,6835,881,1695,1207,3198
"Hijo(a)/ hijastro(a) (039)",62303,5859,2603,18761,20275,2641,2154,5698,4312
"Yerno/ nuera (040)",2391,28,3,212,1053,192,237,230,436
"Nieto(a) (041)",7990,1615,662,3058,1847,174,88,415,131
"Padres/ suegros (042)",2449,872,1,1079,335,14,36,24,88
