"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia GRAU (000)",8636,8464,2174,874,820,774,1356,1101,1365,172
"Católica (001)",7762,7605,1957,793,737,707,1201,981,1229,157
"Cristiana/Evangélica (002)",703,690,161,67,65,53,123,105,116,13
"Otra (003)",123,122,38,10,9,11,26,13,15,1
"Ninguna (004)",48,47,18,4,9,3,6,2,5,1
,,,,,,,,,,
"URBANA (006)",3595,3526,1023,416,429,374,522,357,405,69
"Católica (007)",3207,3146,919,374,379,341,465,311,357,61
"Cristiana/Evangélica (008)",345,338,87,37,42,30,53,44,45,7
"Otra (009)",21,21,8,2,2,3,3,1,2,
"Ninguna (010)",22,21,9,3,6,,1,1,1,1
,,,,,,,,,,
"RURAL (012)",5041,4938,1151,458,391,400,834,744,960,103
"Católica (013)",4555,4459,1038,419,358,366,736,670,872,96
"Cristiana/Evangélica (014)",358,352,74,30,23,23,70,61,71,6
"Otra (015)",102,101,30,8,7,8,23,12,13,1
"Ninguna (016)",26,26,9,1,3,3,5,1,4,
