"CUADRO Nº 9: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA",,,,,,,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)","CAMIÓN-CISTERNA U OTRO SIMILAR",POZO,"RÍO, ACEQUIA, MANANTIAL O SIMILAR",VECINO,OTRO
,,,,,,,,,
"Provincia AYABACA",,,,,,,,,
"Viviendas particulares (001)",29322,3297,1766,1854,153,2506,19321,297,128
"Ocupantes presentes (002)",137605,14572,8225,8699,666,11722,92158,1046,517
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",28727,3264,1746,1797,143,2468,18898,288,123
"Ocupantes presentes (005)",135027,14477,8167,8436,609,11547,90279,1005,507
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",2,1,1,,,,,,
"Ocupantes presentes (008)",4,1,3,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",25,15,9,,,,,1,
"Ocupantes presentes (011)",76,46,26,,,,,4,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",28,17,8,2,,,1,,
"Ocupantes presentes (014)",79,48,20,10,,,1,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",518,,,53,10,37,406,8,4
"Ocupantes presentes (017)",2342,,,249,57,173,1817,37,9
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",2,,1,,,,1,,
"Ocupantes presentes (020)",10,,4,,,,6,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",17,,1,2,,1,13,,
"Ocupantes presentes (023)",59,,5,4,,2,48,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",3,,,,,,2,,1
"Ocupantes presentes (026)",8,,,,,,7,,1
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",3590,2025,245,139,2,109,944,93,33
"Ocupantes presentes (029)",15093,8732,999,570,9,453,3915,309,106
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",3530,1992,226,137,2,109,940,92,32
"Ocupantes presentes (032)",14916,8637,946,560,9,453,3901,305,105
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",2,1,1,,,,,,
"Ocupantes presentes (035)",4,1,3,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",25,15,9,,,,,1,
"Ocupantes presentes (038)",76,46,26,,,,,4,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",28,17,8,2,,,1,,
"Ocupantes presentes (041)",79,48,20,10,,,1,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",2,,1,,,,1,,
"Ocupantes presentes (047)",10,,4,,,,6,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",3,,,,,,2,,1
"Ocupantes presentes (053)",8,,,,,,7,,1
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",25732,1272,1521,1715,151,2397,18377,204,95
"Ocupantes presentes (056)",122512,5840,7226,8129,657,11269,88243,737,411
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",25197,1272,1520,1660,141,2359,17958,196,91
"Ocupantes presentes (059)",120111,5840,7221,7876,600,11094,86378,700,402
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",518,,,53,10,37,406,8,4
"Ocupantes presentes (071)",2342,,,249,57,173,1817,37,9
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",17,,1,2,,1,13,,
"Ocupantes presentes (077)",59,,5,4,,2,48,,
"Otro tipo",,,,,,,,,
