"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia HUARI (000)",54561,9966,5930,1664,37861
"Hombres (001)",28080,4799,4020,1334,18748
"Mujeres (002)",26481,5167,1910,330,19113
"PEA (003)",16955,628,3958,1261,11956
"Hombres (004)",13927,476,3184,1158,9925
"Mujeres (005)",3028,152,774,103,2031
"Ocupada (006)",15743,575,3916,1246,10854
"Hombres (007)",12904,438,3152,1144,8986
"Mujeres (008)",2839,137,764,102,1868
"Desocupada (009)",1212,53,42,15,1102
"Hombres (010)",1023,38,32,14,939
"Mujeres (011)",189,15,10,1,163
"No PEA (012)",37606,9338,1972,403,25905
"Hombres (013)",14153,4323,836,176,8823
"Mujeres (014)",23453,5015,1136,227,17082
,,,,,
"URBANA (018)",19522,3225,3173,570,12583
"Hombres (019)",9832,1562,1607,365,6316
"Mujeres (020)",9690,1663,1566,205,6267
"PEA (021)",6707,328,1583,317,4499
"Hombres (022)",4805,225,946,256,3393
"Mujeres (023)",1902,103,637,61,1106
"Ocupada (024)",6208,304,1549,308,4067
"Hombres (025)",4405,210,921,248,3041
"Mujeres (026)",1803,94,628,60,1026
"Desocupada (027)",499,24,34,9,432
"Hombres (028)",400,15,25,8,352
"Mujeres (029)",99,9,9,1,80
"No PEA (030)",12815,2897,1590,253,8084
"Hombres (031)",5027,1337,661,109,2923
"Mujeres (032)",7788,1560,929,144,5161
,,,,,
"RURAL (036)",35039,6741,2757,1094,25278
"Hombres (037)",18248,3237,2413,969,12432
"Mujeres (038)",16791,3504,344,125,12846
"PEA (039)",10248,300,2375,944,7457
"Hombres (040)",9122,251,2238,902,6532
"Mujeres (041)",1126,49,137,42,925
"Ocupada (042)",9535,271,2367,938,6787
"Hombres (043)",8499,228,2231,896,5945
"Mujeres (044)",1036,43,136,42,842
"Desocupada (045)",713,29,8,6,670
"Hombres (046)",623,23,7,6,587
"Mujeres (047)",90,6,1,,83
"No PEA (048)",24791,6441,382,150,17821
"Hombres (049)",9126,2986,175,67,5900
"Mujeres (050)",15665,3455,207,83,11921
