"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia POMABAMBA (000)",5891,4572,593,393,333
"Hombres (001)",4623,3625,482,302,214
"Mujeres (002)",1268,947,111,91,119
"De 06 a 14 años (003)",77,75,1,1,
"Hombres (004)",54,53,1,,
"Mujeres (005)",23,22,,1,
"De 15 a 29 años (006)",1704,1411,143,69,81
"Hombres (007)",1312,1089,122,52,49
"Mujeres (008)",392,322,21,17,32
"De 30 a 44 años (009)",2161,1513,271,228,149
"Hombres (010)",1667,1183,215,168,101
"Mujeres (011)",494,330,56,60,48
"De 45 a 64 años (012)",1498,1145,163,92,98
"Hombres (013)",1220,950,131,79,60
"Mujeres (014)",278,195,32,13,38
"De 65 y más años (015)",451,428,15,3,5
"Hombres (016)",370,350,13,3,4
"Mujeres (017)",81,78,2,,1
,,,,,
"URBANA (018)",1953,1144,288,260,261
"Hombres (019)",1236,694,201,182,159
"Mujeres (020)",717,450,87,78,102
"De 06 a 14 años (021)",19,17,1,1,
"Hombres (022)",14,13,1,,
"Mujeres (023)",5,4,,1,
"De 15 a 29 años (024)",516,367,63,29,57
"Hombres (025)",307,208,49,18,32
"Mujeres (026)",209,159,14,11,25
"De 30 a 44 años (027)",807,385,142,164,116
"Hombres (028)",506,226,94,110,76
"Mujeres (029)",301,159,48,54,40
"De 45 a 64 años (030)",506,278,78,65,85
"Hombres (031)",337,181,54,53,49
"Mujeres (032)",169,97,24,12,36
"De 65 y más años (033)",105,97,4,1,3
"Hombres (034)",72,66,3,1,2
"Mujeres (035)",33,31,1,,1
,,,,,
"RURAL (036)",3938,3428,305,133,72
"Hombres (037)",3387,2931,281,120,55
"Mujeres (038)",551,497,24,13,17
"De 06 a 14 años (039)",58,58,,,
"Hombres (040)",40,40,,,
"Mujeres (041)",18,18,,,
"De 15 a 29 años (042)",1188,1044,80,40,24
"Hombres (043)",1005,881,73,34,17
"Mujeres (044)",183,163,7,6,7
"De 30 a 44 años (045)",1354,1128,129,64,33
"Hombres (046)",1161,957,121,58,25
"Mujeres (047)",193,171,8,6,8
"De 45 a 64 años (048)",992,867,85,27,13
"Hombres (049)",883,769,77,26,11
"Mujeres (050)",109,98,8,1,2
"De 65 y más años (051)",346,331,11,2,2
"Hombres (052)",298,284,10,2,2
"Mujeres (053)",48,47,1,,
