"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia LORETO",,,,,,,,,
"Hogares (001)",11280,208,133,55,70,32,20,47,10715
"Ocupantes presentes (002)",59590,1063,671,269,364,163,122,269,56669
"Casa independiente",,,,,,,,,
"Hogares (004)",8780,175,123,53,66,32,20,45,8266
"Ocupantes presentes (005)",46133,892,637,260,352,163,122,262,43445
"Departamento en edificio",,,,,,,,,
"Hogares (007)",3,,,,,,,,3
"Ocupantes presentes (008)",8,,,,,,,,8
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",85,4,2,,2,,,1,76
"Ocupantes presentes (011)",268,11,7,,7,,,2,241
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",5,1,1,,,,,,3
"Ocupantes presentes (014)",29,12,3,,,,,,14
"Choza o cabaña",,,,,,,,,
"Hogares (016)",2369,27,5,2,2,,,1,2332
"Ocupantes presentes (017)",12997,143,20,9,5,,,5,12815
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",24,1,2,,,,,,21
"Ocupantes presentes (020)",101,5,4,,,,,,92
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",9,,,,,,,,9
"Ocupantes presentes (023)",43,,,,,,,,43
"Otro tipo",,,,,,,,,
"Hogares (025)",5,,,,,,,,5
"Ocupantes presentes (026)",11,,,,,,,,11
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",4624,142,103,47,58,29,18,40,4187
"Ocupantes presentes (029)",24202,703,498,219,308,149,113,238,21974
"Casa independiente",,,,,,,,,
"Hogares (031)",4499,136,98,47,56,29,18,39,4076
"Ocupantes presentes (032)",23774,675,484,219,301,149,113,236,21597
"Departamento en edificio",,,,,,,,,
"Hogares (034)",3,,,,,,,,3
"Ocupantes presentes (035)",8,,,,,,,,8
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",85,4,2,,2,,,1,76
"Ocupantes presentes (038)",268,11,7,,7,,,2,241
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",5,1,1,,,,,,3
"Ocupantes presentes (041)",29,12,3,,,,,,14
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",24,1,2,,,,,,21
"Ocupantes presentes (047)",101,5,4,,,,,,92
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",4,,,,,,,,4
"Ocupantes presentes (050)",14,,,,,,,,14
"Otro tipo",,,,,,,,,
"Hogares (052)",4,,,,,,,,4
"Ocupantes presentes (053)",8,,,,,,,,8
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",6656,66,30,8,12,3,2,7,6528
"Ocupantes presentes (056)",35388,360,173,50,56,14,9,31,34695
"Casa independiente",,,,,,,,,
"Hogares (058)",4281,39,25,6,10,3,2,6,4190
"Ocupantes presentes (059)",22359,217,153,41,51,14,9,26,21848
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",2369,27,5,2,2,,,1,2332
"Ocupantes presentes (071)",12997,143,20,9,5,,,5,12815
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",5,,,,,,,,5
"Ocupantes presentes (077)",29,,,,,,,,29
"Otro tipo",,,,,,,,,
"Hogares (079)",1,,,,,,,,1
"Ocupantes presentes (080)",3,,,,,,,,3
