"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CONDESUYOS (000)",4687,56,130,292,531,940,1482,1256
"De 12 a 14 años (001)",11,,,,,,,11
"De 15 a 19 años (002)",102,,,,,,60,42
"De 20 a 24 años (003)",464,,,,,1,280,183
"De 25 a 29 años (004)",500,,,,,29,319,152
"De 30 a 34 años (005)",500,,,,,78,308,114
"De 35 a 39 años (006)",538,,,,13,164,270,91
"De 40 a 44 años (007)",491,,,,27,211,162,91
"De 45 a 49 años (008)",389,,,1,57,190,70,71
"De 50 y más años (009)",1692,56,130,291,434,267,13,501
"PEA (010)",1893,5,25,84,234,458,582,505
"De 15 a 19 años (012)",38,,,,,,25,13
"De 20 a 24 años (013)",148,,,,,1,84,63
"De 25 a 29 años (014)",206,,,,,16,118,72
"De 30 a 34 años (015)",224,,,,,34,135,55
"De 35 a 39 años (016)",253,,,,9,87,109,48
"De 40 a 44 años (017)",245,,,,11,101,79,54
"De 45 a 49 años (018)",193,,,1,26,102,28,36
"De 50 y más años (019)",586,5,25,83,188,117,4,164
"Ocupada (020)",1858,5,25,84,228,451,571,494
"De 15 a 19 años (022)",37,,,,,,25,12
"De 20 a 24 años (023)",140,,,,,1,80,59
"De 25 a 29 años (024)",202,,,,,16,117,69
"De 30 a 34 años (025)",219,,,,,33,134,52
"De 35 a 39 años (026)",251,,,,9,87,107,48
"De 40 a 44 años (027)",238,,,,9,99,76,54
"De 45 a 49 años (028)",189,,,1,25,99,28,36
"De 50 y más años (029)",582,5,25,83,185,116,4,164
"Desocupada (030)",35,,,,6,7,11,11
"De 15 a 19 años (032)",1,,,,,,,1
"De 20 a 24 años (033)",8,,,,,,4,4
"De 25 a 29 años (034)",4,,,,,,1,3
"De 30 a 34 años (035)",5,,,,,1,1,3
"De 35 a 39 años (036)",2,,,,,,2,
"De 40 a 44 años (037)",7,,,,2,2,3,
"De 45 a 49 años (038)",4,,,,1,3,,
"De 50 y más años (039)",4,,,,3,1,,
"No PEA (040)",2794,51,105,208,297,482,900,751
"De 12 a 14 años (041)",11,,,,,,,11
"De 15 a 19 años (042)",64,,,,,,35,29
"De 20 a 24 años (043)",316,,,,,,196,120
"De 25 a 29 años (044)",294,,,,,13,201,80
"De 30 a 34 años (045)",276,,,,,44,173,59
"De 35 a 39 años (046)",285,,,,4,77,161,43
"De 40 a 44 años (047)",246,,,,16,110,83,37
"De 45 a 49 años (048)",196,,,,31,88,42,35
"De 50 y más años (049)",1106,51,105,208,246,150,9,337
,,,,,,,,
"URBANA (060)",2068,26,60,105,229,468,633,547
"De 12 a 14 años (061)",8,,,,,,,8
