"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUAURA (000)",2646,2412,234
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",252,252,
"Casa pensión (003)",72,12,60
"Hospital, clinica (004)",284,284,
"Cárcel, centro de readaptación social (005)",793,793,
"Asilo (006)",17,17,
"Aldea infantil, orfelinato, etc (007)",42,42,
"Otro (008)",474,300,174
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",712,712,
