"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia MARISCAL RAMON CASTILLA (000)",17876,576,7212,5584,3682,822
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",37,,5,22,10,
"Profes., científicos e intelectuales (002)",958,,202,528,220,8
"Técnicos de nivel medio y trab.asimilados (003)",242,1,81,93,65,2
"Jefes y empleados de oficina (004)",215,,72,92,47,4
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1105,29,425,395,229,27
"Agricult.trabaj. calif. agrop. y pesqueros (006)",7390,,2339,2472,1987,592
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",652,7,322,206,106,11
"Obreros construc., conf., papel, fab., instr. (008)",300,,134,114,48,4
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",5345,479,2710,1232,793,131
"Otra (010)",219,,146,68,5,
"Ocupación no especificada (011)",372,4,170,119,61,18
"Desocupado (012)",1041,56,606,243,111,25
"Hombres (013)",13395,378,5443,4154,2773,647
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",26,,4,14,8,
"Profes., científicos e intelectuales (015)",571,,94,313,159,5
"Técnicos de nivel medio y trab.asimilados (016)",174,1,54,71,47,1
"Jefes y empleados de oficina (017)",131,,35,57,36,3
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",553,14,201,183,132,23
"Agricult.trabaj. calif. agrop. y pesqueros (019)",6654,,2023,2302,1816,513
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",598,6,305,182,96,9
"Obreros construc., conf., papel, fab., instr. (021)",288,,130,110,44,4
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",3151,320,1891,589,295,56
"Otra (023)",215,,143,68,4,
"Ocupación no especificada (024)",202,2,89,65,35,11
"Desocupado (025)",832,35,474,200,101,22
"Mujeres (026)",4481,198,1769,1430,909,175
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",11,,1,8,2,
"Profes., científicos e intelectuales (028)",387,,108,215,61,3
"Técnicos de nivel medio y trab.asimilados (029)",68,,27,22,18,1
"Jefes y empleados de oficina (030)",84,,37,35,11,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",552,15,224,212,97,4
"Agricult.trabaj. calif. agrop. y pesqueros (032)",736,,316,170,171,79
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",54,1,17,24,10,2
