"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUARAL (000)",2669,1091,1578
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",132,132,
"Casa pensión (003)",25,23,2
"Hospital, clinica (004)",114,114,
"Cárcel, centro de readaptación social (005)",1422,,1422
"Otro (008)",539,387,152
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",437,435,2
