"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ICA (000)",129962,1236,60,14290,56409,8951,15242,8960,24814
"Empleado (001)",38603,75,3,847,7988,2643,7485,3514,16048
"Obrero (002)",43907,579,31,6917,26559,2865,3152,1898,1906
"Trabajador independiente (003)",38848,451,10,5110,17857,2816,3872,2900,5832
"Empleador o patrono (004)",2173,12,,224,734,146,231,219,607
"Trabajador familiar no remunerado (005)",3505,69,10,747,1593,216,242,312,316
"Trabajador del hogar (006)",2926,50,6,445,1678,265,260,117,105
"Hombres (008)",80799,504,31,8801,38224,5477,7591,5943,14228
"Empleado (009)",21227,37,2,549,5404,1543,3091,2131,8470
"Obrero (010)",29810,255,15,4496,18622,1835,1918,1391,1278
"Trabajador independiente (011)",26531,184,5,3219,12838,1908,2367,2098,3912
"Empleador o patrono (012)",1514,8,,156,510,91,145,165,439
"Trabajador familiar no remunerado (013)",1504,15,6,349,726,86,56,145,121
"Trabajador del hogar (014)",213,5,3,32,124,14,14,13,8
"Mujeres (016)",49163,732,29,5489,18185,3474,7651,3017,10586
"Empleado (017)",17376,38,1,298,2584,1100,4394,1383,7578
"Obrero (018)",14097,324,16,2421,7937,1030,1234,507,628
"Trabajador independiente (019)",12317,267,5,1891,5019,908,1505,802,1920
"Empleador o patrono (020)",659,4,,68,224,55,86,54,168
"Trabajador familiar no remunerado (021)",2001,54,4,398,867,130,186,167,195
"Trabajador del hogar (022)",2713,45,3,413,1554,251,246,104,97
,,,,,,,,,
"URBANA (024)",118522,984,53,12003,50093,8445,14350,8606,23988
"Empleado (025)",37330,69,3,792,7644,2568,7200,3429,15625
"Obrero (026)",36467,414,27,5416,21920,2536,2719,1729,1706
"Trabajador independiente (027)",36702,390,9,4541,16819,2734,3729,2819,5661
"Empleador o patrono (028)",2052,10,,189,685,142,226,211,589
"Trabajador familiar no remunerado (029)",3200,54,8,643,1450,207,230,304,304
"Trabajador del hogar (030)",2771,47,6,422,1575,258,246,114,103
"Hombres (032)",72860,395,27,7201,33661,5139,7059,5674,13704
"Empleado (033)",20442,34,2,502,5150,1493,2959,2072,8230
"Obrero (034)",24629,188,12,3487,15294,1621,1627,1263,1137
"Trabajador independiente (035)",24862,150,5,2759,12005,1845,2272,2032,3794
"Empleador o patrono (036)",1410,6,,129,467,88,140,158,422
"Trabajador familiar no remunerado (037)",1315,12,5,294,628,78,48,137,113
"Trabajador del hogar (038)",202,5,3,30,117,14,13,12,8
"Mujeres (040)",45662,589,26,4802,16432,3306,7291,2932,10284
"Empleado (041)",16888,35,1,290,2494,1075,4241,1357,7395
"Obrero (042)",11838,226,15,1929,6626,915,1092,466,569
"Trabajador independiente (043)",11840,240,4,1782,4814,889,1457,787,1867
"Empleador o patrono (044)",642,4,,60,218,54,86,53,167
"Trabajador familiar no remunerado (045)",1885,42,3,349,822,129,182,167,191
"Trabajador del hogar (046)",2569,42,3,392,1458,244,233,102,95
,,,,,,,,,
"RURAL (048)",11440,252,7,2287,6316,506,892,354,826
"Empleado (049)",1273,6,,55,344,75,285,85,423
"Obrero (050)",7440,165,4,1501,4639,329,433,169,200
"Trabajador independiente (051)",2146,61,1,569,1038,82,143,81,171
"Empleador o patrono (052)",121,2,,35,49,4,5,8,18
"Trabajador familiar no remunerado (053)",305,15,2,104,143,9,12,8,12
"Trabajador del hogar (054)",155,3,,23,103,7,14,3,2
"Hombres (056)",7939,109,4,1600,4563,338,532,269,524
"Empleado (057)",785,3,,47,254,50,132,59,240
"Obrero (058)",5181,67,3,1009,3328,214,291,128,141
"Trabajador independiente (059)",1669,34,,460,833,63,95,66,118
"Empleador o patrono (060)",104,2,,27,43,3,5,7,17
"Trabajador familiar no remunerado (061)",189,3,1,55,98,8,8,8,8
"Trabajador del hogar (062)",11,,,2,7,,1,1,
"Mujeres (064)",3501,143,3,687,1753,168,360,85,302
"Empleado (065)",488,3,,8,90,25,153,26,183
"Obrero (066)",2259,98,1,492,1311,115,142,41,59
"Trabajador independiente (067)",477,27,1,109,205,19,48,15,53
"Empleador o patrono (068)",17,,,8,6,1,,1,1
"Trabajador familiar no remunerado (069)",116,12,1,49,45,1,4,,4
"Trabajador del hogar (070)",144,3,,21,96,7,13,2,2
