"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia OTUZCO (000)",22714,226,8546,7491,2570,994,434,147,25,,2281
"Catolica (001)",17399,180,6393,5742,2005,799,345,107,20,,1808
"Cristiana / Evangelica (002)",3571,25,1359,1202,400,147,61,29,5,,343
"Otra (003)",1077,10,465,359,105,36,20,9,,,73
"Ninguna (004)",667,11,329,188,60,12,8,2,,,57
,,,,,,,,,,,
"URBANA (006)",5985,55,1803,1973,854,356,181,68,9,,686
"Catolica (007)",4908,47,1471,1632,697,294,142,49,7,,569
"Cristiana / Evangelica (008)",812,5,245,267,111,49,30,12,2,,91
"Otra (009)",175,1,46,52,31,11,8,6,,,20
"Ninguna (010)",90,2,41,22,15,2,1,1,,,6
,,,,,,,,,,,
"RURAL (012)",16729,171,6743,5518,1716,638,253,79,16,,1595
"Catolica (013)",12491,133,4922,4110,1308,505,203,58,13,,1239
"Cristiana / Evangelica (014)",2759,20,1114,935,289,98,31,17,3,,252
"Otra (015)",902,9,419,307,74,25,12,3,,,53
"Ninguna (016)",577,9,288,166,45,10,7,1,,,51
