"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia SULLANA (000)",269410,12322,57443,55028,46011,37034,27363,16081,18128
"Quechua (001)",278,4,42,45,40,51,34,23,39
"Aymara (002)",39,3,12,1,4,4,4,7,4
"Ashaninca (003)",20,3,5,3,4,,2,2,1
"Otra lengua nativa (004)",858,53,174,186,141,115,72,58,59
"Castellano (005)",267913,12250,57145,54719,45760,36821,27224,15982,18012
"Idioma extranjero (006)",18,,,2,3,5,1,4,3
"Es sordomudo/a (007)",284,9,65,72,59,38,26,5,10
"Hombres (009)",133340,6345,29074,27240,22071,18024,13515,8148,8923
"Quechua (010)",165,3,22,24,22,33,19,15,27
"Aymara (011)",19,3,3,1,3,1,1,3,4
"Ashaninca (012)",6,1,,1,1,,,2,1
"Otra lengua nativa (013)",457,28,85,112,74,57,40,26,35
"Castellano (014)",132527,6304,28926,27059,21944,17909,13439,8097,8849
"Idioma extranjero (015)",11,,,2,2,3,1,2,1
"Es sordomudo/a (016)",155,6,38,41,25,21,15,3,6
"Mujeres (018)",136070,5977,28369,27788,23940,19010,13848,7933,9205
"Quechua (019)",113,1,20,21,18,18,15,8,12
"Aymara (020)",20,,9,,1,3,3,4,
"Ashaninca (021)",14,2,5,2,3,,2,,
"Otra lengua nativa (022)",401,25,89,74,67,58,32,32,24
"Castellano (023)",135386,5946,28219,27660,23816,18912,13785,7885,9163
"Idioma extranjero (024)",7,,,,1,2,,2,2
"Es sordomudo/a (025)",129,3,27,31,34,17,11,2,4
,,,,,,,,,
"URBANA (027)",242360,11026,51268,49237,41706,33604,24899,14504,16116
"Quechua (028)",254,4,38,39,38,46,31,22,36
"Aymara (029)",35,3,11,1,3,3,3,7,4
"Ashaninca (030)",19,3,4,3,4,,2,2,1
"Otra lengua nativa (031)",698,41,143,146,119,94,59,41,55
"Castellano (032)",241100,10968,51022,48986,41489,33419,24782,14423,16011
"Idioma extranjero (033)",18,,,2,3,5,1,4,3
"Es sordomudo/a (034)",236,7,50,60,50,37,21,5,6
"Hombres (036)",119131,5678,25914,24155,19895,16230,12216,7264,7779
"Quechua (037)",150,3,20,18,22,30,18,14,25
"Aymara (038)",18,3,3,1,3,,1,3,4
"Ashaninca (039)",6,1,,1,1,,,2,1
"Otra lengua nativa (040)",366,18,65,91,63,45,35,18,31
"Castellano (041)",118451,5648,25795,24009,19784,16131,12149,7222,7713
"Idioma extranjero (042)",11,,,2,2,3,1,2,1
"Es sordomudo/a (043)",129,5,31,33,20,21,12,3,4
"Mujeres (045)",123229,5348,25354,25082,21811,17374,12683,7240,8337
"Quechua (046)",104,1,18,21,16,16,13,8,11
"Aymara (047)",17,,8,,,3,2,4,
"Ashaninca (048)",13,2,4,2,3,,2,,
"Otra lengua nativa (049)",332,23,78,55,56,49,24,23,24
"Castellano (050)",122649,5320,25227,24977,21705,17288,12633,7201,8298
"Idioma extranjero (051)",7,,,,1,2,,2,2
"Es sordomudo/a (052)",107,2,19,27,30,16,9,2,2
,,,,,,,,,
"RURAL (054)",27050,1296,6175,5791,4305,3430,2464,1577,2012
"Quechua (055)",24,,4,6,2,5,3,1,3
"Aymara (056)",4,,1,,1,1,1,,
"Ashaninca (057)",1,,1,,,,,,
"Otra lengua nativa (058)",160,12,31,40,22,21,13,17,4
"Castellano (059)",26813,1282,6123,5733,4271,3402,2442,1559,2001
"Es sordomudo/a (061)",48,2,15,12,9,1,5,,4
"Hombres (063)",14209,667,3160,3085,2176,1794,1299,884,1144
"Quechua (064)",15,,2,6,,3,1,1,2
"Aymara (065)",1,,,,,1,,,
"Otra lengua nativa (067)",91,10,20,21,11,12,5,8,4
"Castellano (068)",14076,656,3131,3050,2160,1778,1290,875,1136
"Es sordomudo/a (070)",26,1,7,8,5,,3,,2
"Mujeres (072)",12841,629,3015,2706,2129,1636,1165,693,868
"Quechua (073)",9,,2,,2,2,2,,1
"Aymara (074)",3,,1,,1,,1,,
"Ashaninca (075)",1,,1,,,,,,
"Otra lengua nativa (076)",69,2,11,19,11,9,8,9,
"Castellano (077)",12737,626,2992,2683,2111,1624,1152,684,865
"Es sordomudo/a (079)",22,1,8,4,4,1,2,,2
