"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia HUACAYBAMBA (000)",10663,1843,3837,2780,2203
"Asiste actualmente (001)",7797,933,3612,2525,727
"No asiste (002)",2866,910,225,255,1476
"Hombres (004)",5448,927,1927,1460,1134
"Asiste actualmente (005)",4063,463,1820,1344,436
"No asiste (006)",1385,464,107,116,698
"Mujeres (008)",5215,916,1910,1320,1069
"Asiste actualmente (009)",3734,470,1792,1181,291
"No asiste (010)",1481,446,118,139,778
,,,,,
"URBANA (012)",1828,263,630,522,413
"Asiste actualmente (013)",1432,163,602,489,178
"No asiste (014)",396,100,28,33,235
"Hombres (016)",921,116,320,264,221
"Asiste actualmente (017)",744,75,308,251,110
"No asiste (018)",177,41,12,13,111
"Mujeres (020)",907,147,310,258,192
"Asiste actualmente (021)",688,88,294,238,68
"No asiste (022)",219,59,16,20,124
,,,,,
"RURAL (024)",8835,1580,3207,2258,1790
"Asiste actualmente (025)",6365,770,3010,2036,549
"No asiste (026)",2470,810,197,222,1241
"Hombres (028)",4527,811,1607,1196,913
"Asiste actualmente (029)",3319,388,1512,1093,326
"No asiste (030)",1208,423,95,103,587
"Mujeres (032)",4308,769,1600,1062,877
"Asiste actualmente (033)",3046,382,1498,943,223
"No asiste (034)",1262,387,102,119,654
