"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia LEONCIO PRADO (000)",109292,5270,12337,13965,12616,20983,16286,22858,4977
"Sabe leer y escribir (001)",92370,,9009,13712,12375,20095,14751,19138,3290
"No sabe leer y escribir (002)",16922,5270,3328,253,241,888,1535,3720,1687
"Hombres (004)",57213,2729,6383,7263,6634,10935,8280,12354,2635
"Sabe leer y escribir (005)",49944,,4638,7130,6535,10625,7814,11127,2075
"No sabe leer y escribir (006)",7269,2729,1745,133,99,310,466,1227,560
"Mujeres (008)",52079,2541,5954,6702,5982,10048,8006,10504,2342
"Sabe leer y escribir (009)",42426,,4371,6582,5840,9470,6937,8011,1215
"No sabe leer y escribir (010)",9653,2541,1583,120,142,578,1069,2493,1127
,,,,,,,,,
"URBANA (012)",64565,2732,6639,7982,7857,12533,9808,14089,2925
"Sabe leer y escribir (013)",57829,,5175,7915,7782,12333,9413,12939,2272
"No sabe leer y escribir (014)",6736,2732,1464,67,75,200,395,1150,653
"Hombres (016)",32283,1431,3361,4067,3995,6191,4660,7167,1411
"Sabe leer y escribir (017)",29445,,2601,4031,3968,6115,4559,6896,1275
"No sabe leer y escribir (018)",2838,1431,760,36,27,76,101,271,136
"Mujeres (020)",32282,1301,3278,3915,3862,6342,5148,6922,1514
"Sabe leer y escribir (021)",28384,,2574,3884,3814,6218,4854,6043,997
"No sabe leer y escribir (022)",3898,1301,704,31,48,124,294,879,517
,,,,,,,,,
"RURAL (024)",44727,2538,5698,5983,4759,8450,6478,8769,2052
"Sabe leer y escribir (025)",34541,,3834,5797,4593,7762,5338,6199,1018
"No sabe leer y escribir (026)",10186,2538,1864,186,166,688,1140,2570,1034
"Hombres (028)",24930,1298,3022,3196,2639,4744,3620,5187,1224
"Sabe leer y escribir (029)",20499,,2037,3099,2567,4510,3255,4231,800
"No sabe leer y escribir (030)",4431,1298,985,97,72,234,365,956,424
"Mujeres (032)",19797,1240,2676,2787,2120,3706,2858,3582,828
"Sabe leer y escribir (033)",14042,,1797,2698,2026,3252,2083,1968,218
"No sabe leer y escribir (034)",5755,1240,879,89,94,454,775,1614,610
