"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CAJATAMBO (000)",92,3,52,19,11,7
"Conviviente (001)",28,,12,12,3,1
"Casado(a) (003)",14,,1,2,6,5
"Viudo(a) (004)",1,,,,,1
"Soltero(a) (006)",49,3,39,5,2,
"Hombres (008)",82,2,48,17,11,4
"Conviviente (009)",27,,12,11,3,1
"Casado(a) (011)",11,,1,2,6,2
"Viudo(a) (012)",1,,,,,1
"Soltero(a) (014)",43,2,35,4,2,
"Mujeres (016)",10,1,4,2,,3
"Conviviente (017)",1,,,1,,
"Casado(a) (019)",3,,,,,3
"Soltero(a) (022)",6,1,4,1,,
,,,,,,
"AREA URBANA (024)",55,2,30,10,7,6
"Conviviente (025)",19,,8,8,2,1
"Casado(a) (027)",11,,,1,5,5
"Soltero(a) (030)",25,2,22,1,,
"Hombres (032)",48,1,28,9,7,3
"Conviviente (033)",18,,8,7,2,1
"Casado(a) (035)",8,,,1,5,2
"Soltero(a) (038)",22,1,20,1,,
"Mujeres (040)",7,1,2,1,,3
"Conviviente (041)",1,,,1,,
"Casado(a) (043)",3,,,,,3
"Soltero(a) (046)",3,1,2,,,
,,,,,,
"AREA RURAL (048)",37,1,22,9,4,1
"Conviviente (049)",9,,4,4,1,
"Casado(a) (051)",3,,1,1,1,
"Viudo(a) (052)",1,,,,,1
"Soltero(a) (054)",24,1,17,4,2,
"Hombres (056)",34,1,20,8,4,1
"Conviviente (057)",9,,4,4,1,
"Casado(a) (059)",3,,1,1,1,
"Viudo(a) (060)",1,,,,,1
"Soltero(a) (062)",21,1,15,3,2,
"Mujeres (064)",3,,2,1,,
"Soltero(a) (070)",3,,2,1,,
