"CUADRO Nº 19: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HABITACIONES DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HABITACIONES DE LA VIVIENDA",,,,,,,
,,1,2,3,4,5,6,7,"8 Y MÁS"
,,,,,,,,,
"Provincia ABANCAY",,,,,,,,,
"Viviendas particulares (001)",25439,7838,6519,3400,3507,1404,1191,504,1076
"Ocupantes presentes (002)",95842,23093,24670,13761,14955,6502,5415,2321,5125
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",22213,5959,5922,3107,3231,1265,1174,498,1057
"Ocupantes presentes (005)",85963,18432,22482,12678,13872,5812,5352,2292,5043
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",284,75,41,65,49,24,12,6,12
"Ocupantes presentes (008)",929,143,128,209,180,126,47,29,67
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",137,59,23,18,19,6,5,,7
"Ocupantes presentes (011)",417,132,76,67,77,34,16,,15
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",2433,1433,485,203,204,108,,,
"Ocupantes presentes (014)",7522,3599,1811,782,809,521,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",317,267,45,4,1,,,,
"Ocupantes presentes (017)",869,692,162,13,2,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",8,7,,,,1,,,
"Ocupantes presentes (020)",31,22,,,,9,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",34,25,3,3,3,,,,
"Ocupantes presentes (023)",93,55,11,12,15,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",13,13,,,,,,,
"Ocupantes presentes (026)",18,18,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",15943,4177,3380,2203,2562,1197,987,470,967
"Ocupantes presentes (029)",60601,11409,12770,8786,10840,5545,4453,2190,4608
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",13039,2569,2829,1914,2287,1058,970,464,948
"Ocupantes presentes (032)",51599,7447,10745,7716,9759,4855,4390,2161,4526
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",284,75,41,65,49,24,12,6,12
"Ocupantes presentes (035)",929,143,128,209,180,126,47,29,67
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",137,59,23,18,19,6,5,,7
"Ocupantes presentes (038)",417,132,76,67,77,34,16,,15
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",2433,1433,485,203,204,108,,,
"Ocupantes presentes (041)",7522,3599,1811,782,809,521,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",8,7,,,,1,,,
"Ocupantes presentes (047)",31,22,,,,9,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",30,22,2,3,3,,,,
"Ocupantes presentes (050)",86,49,10,12,15,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",12,12,,,,,,,
"Ocupantes presentes (053)",17,17,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",9496,3661,3139,1197,945,207,204,34,109
"Ocupantes presentes (056)",35241,11684,11900,4975,4115,957,962,131,517
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",9174,3390,3093,1193,944,207,204,34,109
"Ocupantes presentes (059)",34364,10985,11737,4962,4113,957,962,131,517
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",317,267,45,4,1,,,,
"Ocupantes presentes (071)",869,692,162,13,2,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",4,3,1,,,,,,
"Ocupantes presentes (077)",7,6,1,,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (079)",1,1,,,,,,,
"Ocupantes presentes (080)",1,1,,,,,,,
