"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia ILO (000)",63780,63486,147,147
"Hombres (001)",32332,32179,75,78
"Mujeres (002)",31448,31307,72,69
"Menores de 1 año (003)",1043,953,50,40
"Hombres (004)",524,476,30,18
"Mujeres (005)",519,477,20,22
"De 1 a 5 años (006)",5513,5330,77,106
"Hombres (007)",2877,2777,41,59
"Mujeres (008)",2636,2553,36,47
"De 6 a 14 años (009)",10423,10422,,1
"Hombres (010)",5272,5271,,1
"Mujeres (011)",5151,5151,,
"De 15 a 29 años (012)",16749,16748,1,
"Hombres (013)",8323,8323,,
"Mujeres (014)",8426,8425,1,
"De 30 a 44 años (015)",15232,15232,,
"Hombres (016)",7529,7529,,
"Mujeres (017)",7703,7703,,
"De 45 a 64 años (018)",11269,11268,1,
"Hombres (019)",5835,5835,,
"Mujeres (020)",5434,5433,1,
"De 65 a más años (021)",3551,3533,18,
"Hombres (022)",1972,1968,4,
"Mujeres (023)",1579,1565,14,
,,,,
"URBANA (024)",63068,62775,146,147
"Hombres (025)",31752,31600,74,78
"Mujeres (026)",31316,31175,72,69
"Menores de 1 año (027)",1042,952,50,40
"Hombres (028)",523,475,30,18
"Mujeres (029)",519,477,20,22
"De 1 a 5 años (030)",5497,5315,76,106
"Hombres (031)",2867,2768,40,59
"Mujeres (032)",2630,2547,36,47
"De 6 a 14 años (033)",10387,10386,,1
"Hombres (034)",5250,5249,,1
"Mujeres (035)",5137,5137,,
"De 15 a 29 años (036)",16364,16363,1,
"Hombres (037)",7982,7982,,
"Mujeres (038)",8382,8381,1,
"De 30 a 44 años (039)",15100,15100,,
"Hombres (040)",7415,7415,,
"Mujeres (041)",7685,7685,,
"De 45 a 64 años (042)",11160,11159,1,
"Hombres (043)",5760,5760,,
"Mujeres (044)",5400,5399,1,
"De 65 a más años (045)",3518,3500,18,
"Hombres (046)",1955,1951,4,
"Mujeres (047)",1563,1549,14,
,,,,
"RURAL (048)",712,711,1,
"Hombres (049)",580,579,1,
"Mujeres (050)",132,132,,
"Menores de 1 año (051)",1,1,,
"Hombres (052)",1,1,,
"De 1 a 5 años (054)",16,15,1,
"Hombres (055)",10,9,1,
"Mujeres (056)",6,6,,
"De 6 a 14 años (057)",36,36,,
"Hombres (058)",22,22,,
"Mujeres (059)",14,14,,
"De 15 a 29 años (060)",385,385,,
"Hombres (061)",341,341,,
"Mujeres (062)",44,44,,
"De 30 a 44 años (063)",132,132,,
"Hombres (064)",114,114,,
"Mujeres (065)",18,18,,
"De 45 a 64 años (066)",109,109,,
"Hombres (067)",75,75,,
"Mujeres (068)",34,34,,
"De 65 a más años (069)",33,33,,
"Hombres (070)",17,17,,
"Mujeres (071)",16,16,,
