"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia TAHUAMANU (000)",2312,70,1105,635,192,52,19,8,1,,230
"Sin Nivel (001)",242,15,123,55,15,6,2,3,,,23
"Educación Inicial (002)",2,,1,1,,,,,,,
"Primaria (003)",596,27,341,125,38,9,3,,1,,52
"Secundaria (004)",902,22,449,245,68,18,8,4,,,88
"Sup. no Univ. Incompleta (005)",154,1,68,53,6,5,,,,,21
"Sup. no Univ. Completa (006)",260,3,80,99,43,6,1,1,,,27
"Sup. Univ. Incompleta (007)",54,1,21,20,2,2,,,,,8
"Sup. Univ. Completa (008)",102,1,22,37,20,6,5,,,,11
,,,,,,,,,,,
"URBANA (010)",1681,52,780,459,158,43,14,6,1,,168
"Sin Nivel (011)",118,9,54,22,12,4,,2,,,15
"Educación Inicial (012)",1,,1,,,,,,,,
"Primaria (013)",368,20,211,69,24,6,3,,1,,34
"Secundaria (014)",726,18,362,199,60,15,7,3,,,62
"Sup. no Univ. Incompleta (015)",134,1,58,45,6,5,,,,,19
"Sup. no Univ. Completa (016)",204,3,61,77,35,5,,1,,,22
"Sup. Univ. Incompleta (017)",38,,13,14,2,2,,,,,7
"Sup. Univ. Completa (018)",92,1,20,33,19,6,4,,,,9
,,,,,,,,,,,
"RURAL (020)",631,18,325,176,34,9,5,2,,,62
"Sin Nivel (021)",124,6,69,33,3,2,2,1,,,8
"Educación Inicial (022)",1,,,1,,,,,,,
"Primaria (023)",228,7,130,56,14,3,,,,,18
"Secundaria (024)",176,4,87,46,8,3,1,1,,,26
"Sup. no Univ. Incompleta (025)",20,,10,8,,,,,,,2
"Sup. no Univ. Completa (026)",56,,19,22,8,1,1,,,,5
"Sup. Univ. Incompleta (027)",16,1,8,6,,,,,,,1
"Sup. Univ. Completa (028)",10,,2,4,1,,1,,,,2
