"CUADRO Nº 10: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISPONE DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA",
,,SI,NO
,,,
"Provincia BELLAVISTA",,,
"Viviendas particulares (001)",3699,2549,1150
"Ocupantes presentes (002)",15212,10360,4852
"Casa independiente",,,
"Viviendas particulares (004)",3526,2410,1116
"Ocupantes presentes (005)",14669,9957,4712
"Departamento en edificio",,,
"Viviendas particulares (007)",8,8,
"Ocupantes presentes (008)",33,33,
"Vivienda en quinta",,,
"Viviendas particulares (010)",135,105,30
"Ocupantes presentes (011)",428,297,131
"Vivienda en casa de vecindad",,,
"Viviendas particulares (013)",17,16,1
"Ocupantes presentes (014)",43,37,6
"Choza o cabaña",,,
"Viviendas particulares (016)",5,5,
"Ocupantes presentes (017)",18,18,
"Vivienda improvisada",,,
"Viviendas particulares (019)",3,2,1
"Ocupantes presentes (020)",10,9,1
"Local no dest.para hab. humana",,,
"Viviendas particulares (022)",5,3,2
"Ocupantes presentes (023)",11,9,2
"Otro tipo",,,
,,,
URBANA,,,
"Viviendas particulares (028)",3449,2316,1133
"Ocupantes presentes (029)",14191,9413,4778
"Casa independiente",,,
"Viviendas particulares (031)",3283,2184,1099
"Ocupantes presentes (032)",13671,9033,4638
"Departamento en edificio",,,
"Viviendas particulares (034)",8,8,
"Ocupantes presentes (035)",33,33,
"Vivienda en quinta",,,
"Viviendas particulares (037)",135,105,30
"Ocupantes presentes (038)",428,297,131
"Vivienda en casa de vecindad",,,
"Viviendas particulares (040)",17,16,1
"Ocupantes presentes (041)",43,37,6
"Choza o cabaña",,,
"Vivienda improvisada",,,
"Viviendas particulares (046)",3,2,1
"Ocupantes presentes (047)",10,9,1
"Local no dest.para hab. humana",,,
"Viviendas particulares (049)",3,1,2
"Ocupantes presentes (050)",6,4,2
"Otro tipo",,,
,,,
RURAL,,,
"Viviendas particulares (055)",250,233,17
"Ocupantes presentes (056)",1021,947,74
"Casa independiente",,,
"Viviendas particulares (058)",243,226,17
"Ocupantes presentes (059)",998,924,74
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Vivienda en casa de vecindad",,,
"Choza o cabaña",,,
"Viviendas particulares (070)",5,5,
"Ocupantes presentes (071)",18,18,
"Vivienda improvisada",,,
"Local no dest.para hab. humana",,,
"Viviendas particulares (076)",2,2,
"Ocupantes presentes (077)",5,5,
"Otro tipo",,,
