"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia PACHITEA (000)",39456,7540,8537,8249,5916,3909,5305
"Católica (001)",33245,6415,7253,6979,4926,3227,4445
"Cristiana/Evangélica (002)",5702,1033,1163,1143,909,640,814
"Otra (003)",128,20,23,20,21,16,28
"Ninguna (004)",381,72,98,107,60,26,18
"Hombres (006)",20006,3875,4199,4168,2995,2055,2714
"Católica (007)",16993,3321,3597,3572,2500,1706,2297
"Cristiana/Evangélica (008)",2717,500,540,523,443,326,385
"Otra (009)",69,13,10,9,11,9,17
"Ninguna (010)",227,41,52,64,41,14,15
"Mujeres (012)",19450,3665,4338,4081,2921,1854,2591
"Católica (013)",16252,3094,3656,3407,2426,1521,2148
"Cristiana/Evangélica (014)",2985,533,623,620,466,314,429
"Otra (015)",59,7,13,11,10,7,11
"Ninguna (016)",154,31,46,43,19,12,3
,,,,,,,
"URBANA (018)",6166,1118,1287,1312,1043,658,748
"Católica (019)",4700,813,1000,1019,785,504,579
"Cristiana/Evangélica (020)",1306,280,249,252,227,140,158
"Otra (021)",59,12,12,7,12,8,8
"Ninguna (022)",101,13,26,34,19,6,3
"Hombres (024)",3093,571,626,632,520,356,388
"Católica (025)",2396,433,490,503,394,276,300
"Cristiana/Evangélica (026)",603,120,120,103,108,72,80
"Otra (027)",35,9,6,5,6,4,5
"Ninguna (028)",59,9,10,21,12,4,3
"Mujeres (030)",3073,547,661,680,523,302,360
"Católica (031)",2304,380,510,516,391,228,279
"Cristiana/Evangélica (032)",703,160,129,149,119,68,78
"Otra (033)",24,3,6,2,6,4,3
"Ninguna (034)",42,4,16,13,7,2,
,,,,,,,
"RURAL (036)",33290,6422,7250,6937,4873,3251,4557
"Católica (037)",28545,5602,6253,5960,4141,2723,3866
"Cristiana/Evangélica (038)",4396,753,914,891,682,500,656
"Otra (039)",69,8,11,13,9,8,20
"Ninguna (040)",280,59,72,73,41,20,15
"Hombres (042)",16913,3304,3573,3536,2475,1699,2326
"Católica (043)",14597,2888,3107,3069,2106,1430,1997
"Cristiana/Evangélica (044)",2114,380,420,420,335,254,305
"Otra (045)",34,4,4,4,5,5,12
"Ninguna (046)",168,32,42,43,29,10,12
"Mujeres (048)",16377,3118,3677,3401,2398,1552,2231
"Católica (049)",13948,2714,3146,2891,2035,1293,1869
"Cristiana/Evangélica (050)",2282,373,494,471,347,246,351
"Otra (051)",35,4,7,9,4,3,8
"Ninguna (052)",112,27,30,30,12,10,3
