"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia GRAN CHIMU (000)",10214,8073,526,448,1167
"Hombres (001)",8757,6936,419,364,1038
"Mujeres (002)",1457,1137,107,84,129
"De 06 a 14 años (003)",191,175,9,5,2
"Hombres (004)",167,152,9,5,1
"Mujeres (005)",24,23,,,1
"De 15 a 29 años (006)",3265,2473,178,167,447
"Hombres (007)",2828,2128,153,157,390
"Mujeres (008)",437,345,25,10,57
"De 30 a 44 años (009)",3417,2490,226,193,508
"Hombres (010)",2843,2084,163,138,458
"Mujeres (011)",574,406,63,55,50
"De 45 a 64 años (012)",2503,2123,100,75,205
"Hombres (013)",2165,1839,84,57,185
"Mujeres (014)",338,284,16,18,20
"De 65 y más años (015)",838,812,13,8,5
"Hombres (016)",754,733,10,7,4
"Mujeres (017)",84,79,3,1,1
,,,,,
"URBANA (018)",2343,1684,258,226,175
"Hombres (019)",1635,1142,205,169,119
"Mujeres (020)",708,542,53,57,56
"De 06 a 14 años (021)",50,44,4,2,
"Hombres (022)",38,32,4,2,
"Mujeres (023)",12,12,,,
"De 15 a 29 años (024)",675,470,91,65,49
"Hombres (025)",483,315,76,62,30
"Mujeres (026)",192,155,15,3,19
"De 30 a 44 años (027)",847,554,112,107,74
"Hombres (028)",550,348,81,69,52
"Mujeres (029)",297,206,31,38,22
"De 45 a 64 años (030)",609,468,44,47,50
"Hombres (031)",438,332,38,32,36
"Mujeres (032)",171,136,6,15,14
"De 65 y más años (033)",162,148,7,5,2
"Hombres (034)",126,115,6,4,1
"Mujeres (035)",36,33,1,1,1
,,,,,
"RURAL (036)",7871,6389,268,222,992
"Hombres (037)",7122,5794,214,195,919
"Mujeres (038)",749,595,54,27,73
"De 06 a 14 años (039)",141,131,5,3,2
"Hombres (040)",129,120,5,3,1
"Mujeres (041)",12,11,,,1
"De 15 a 29 años (042)",2590,2003,87,102,398
"Hombres (043)",2345,1813,77,95,360
"Mujeres (044)",245,190,10,7,38
"De 30 a 44 años (045)",2570,1936,114,86,434
"Hombres (046)",2293,1736,82,69,406
"Mujeres (047)",277,200,32,17,28
"De 45 a 64 años (048)",1894,1655,56,28,155
"Hombres (049)",1727,1507,46,25,149
"Mujeres (050)",167,148,10,3,6
"De 65 y más años (051)",676,664,6,3,3
"Hombres (052)",628,618,4,3,3
"Mujeres (053)",48,46,2,,
