"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia OTUZCO",,,,,,
"Viviendas particulares (001)",21965,21725,214,21,5,
"Ocupantes presentes (002)",88633,86680,1640,233,80,
"Casa independiente",,,,,,
"Viviendas particulares (004)",21690,21464,205,17,4,
"Ocupantes presentes (005)",87585,85765,1568,187,65,
"Departamento en edificio",,,,,,
"Viviendas particulares (007)",23,23,,,,
"Ocupantes presentes (008)",55,55,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",28,25,2,1,,
"Ocupantes presentes (011)",123,91,21,11,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",73,62,7,3,1,
"Ocupantes presentes (014)",307,206,51,35,15,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",142,142,,,,
"Ocupantes presentes (017)",532,532,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (019)",3,3,,,,
"Ocupantes presentes (020)",12,12,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",2,2,,,,
"Ocupantes presentes (023)",6,6,,,,
"Otro tipo",,,,,,
"Viviendas particulares (025)",4,4,,,,
"Ocupantes presentes (026)",13,13,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",5699,5564,116,14,5,
"Ocupantes presentes (029)",21010,19929,843,158,80,
"Casa independiente",,,,,,
"Viviendas particulares (031)",5569,5448,107,10,4,
"Ocupantes presentes (032)",20502,19554,771,112,65,
"Departamento en edificio",,,,,,
"Viviendas particulares (034)",23,23,,,,
"Ocupantes presentes (035)",55,55,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",28,25,2,1,,
"Ocupantes presentes (038)",123,91,21,11,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",73,62,7,3,1,
"Ocupantes presentes (041)",307,206,51,35,15,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (046)",3,3,,,,
"Ocupantes presentes (047)",12,12,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",1,1,,,,
"Ocupantes presentes (050)",5,5,,,,
"Otro tipo",,,,,,
"Viviendas particulares (052)",2,2,,,,
"Ocupantes presentes (053)",6,6,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",16266,16161,98,7,,
"Ocupantes presentes (056)",67623,66751,797,75,,
"Casa independiente",,,,,,
"Viviendas particulares (058)",16121,16016,98,7,,
"Ocupantes presentes (059)",67083,66211,797,75,,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",142,142,,,,
"Ocupantes presentes (071)",532,532,,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",1,1,,,,
"Ocupantes presentes (077)",1,1,,,,
"Otro tipo",,,,,,
"Viviendas particulares (079)",2,2,,,,
"Ocupantes presentes (080)",7,7,,,,
