"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia MANU (000)",4400,91,1891,1248,319,102,52,5,,,692
"Catolica (001)",3413,75,1437,973,250,84,43,5,,,546
"Cristiana / Evangelica (002)",580,13,283,146,35,14,5,,,,84
"Otra (003)",280,3,123,92,26,3,3,,,,30
"Ninguna (004)",127,,48,37,8,1,1,,,,32
,,,,,,,,,,,
"URBANA (006)",1773,28,699,519,158,57,24,5,,,283
"Catolica (007)",1366,26,527,395,120,48,18,5,,,227
"Cristiana / Evangelica (008)",248,1,117,64,21,5,4,,,,36
"Otra (009)",113,1,44,43,12,3,1,,,,9
"Ninguna (010)",46,,11,17,5,1,1,,,,11
,,,,,,,,,,,
"RURAL (012)",2627,63,1192,729,161,45,28,,,,409
"Catolica (013)",2047,49,910,578,130,36,25,,,,319
"Cristiana / Evangelica (014)",332,12,166,82,14,9,1,,,,48
"Otra (015)",167,2,79,49,14,,2,,,,21
"Ninguna (016)",81,,37,20,3,,,,,,21
