"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia LA CONVENCION (000)",156050,7967,19759,19899,16408,27619,22996,32963,8439
"Sabe leer y escribir (001)",128605,,15317,19662,16067,26485,21049,25907,4118
"No sabe leer y escribir (002)",27445,7967,4442,237,341,1134,1947,7056,4321
"Hombres (004)",82680,4049,10012,10284,8807,14614,12070,18178,4666
"Sabe leer y escribir (005)",71437,,7749,10165,8662,14225,11523,16074,3039
"No sabe leer y escribir (006)",11243,4049,2263,119,145,389,547,2104,1627
"Mujeres (008)",73370,3918,9747,9615,7601,13005,10926,14785,3773
"Sabe leer y escribir (009)",57168,,7568,9497,7405,12260,9526,9833,1079
"No sabe leer y escribir (010)",16202,3918,2179,118,196,745,1400,4952,2694
,,,,,,,,,
"URBANA (012)",47164,1911,5424,6173,5694,8547,7651,9747,2017
"Sabe leer y escribir (013)",42020,,4489,6144,5659,8436,7390,8586,1316
"No sabe leer y escribir (014)",5144,1911,935,29,35,111,261,1161,701
"Hombres (016)",23714,990,2750,3086,2880,4154,3697,5111,1046
"Sabe leer y escribir (017)",21691,,2266,3071,2859,4122,3650,4869,854
"No sabe leer y escribir (018)",2023,990,484,15,21,32,47,242,192
"Mujeres (020)",23450,921,2674,3087,2814,4393,3954,4636,971
"Sabe leer y escribir (021)",20329,,2223,3073,2800,4314,3740,3717,462
"No sabe leer y escribir (022)",3121,921,451,14,14,79,214,919,509
,,,,,,,,,
"RURAL (024)",108886,6056,14335,13726,10714,19072,15345,23216,6422
"Sabe leer y escribir (025)",86585,,10828,13518,10408,18049,13659,17321,2802
"No sabe leer y escribir (026)",22301,6056,3507,208,306,1023,1686,5895,3620
"Hombres (028)",58966,3059,7262,7198,5927,10460,8373,13067,3620
"Sabe leer y escribir (029)",49746,,5483,7094,5803,10103,7873,11205,2185
"No sabe leer y escribir (030)",9220,3059,1779,104,124,357,500,1862,1435
"Mujeres (032)",49920,2997,7073,6528,4787,8612,6972,10149,2802
"Sabe leer y escribir (033)",36839,,5345,6424,4605,7946,5786,6116,617
"No sabe leer y escribir (034)",13081,2997,1728,104,182,666,1186,4033,2185
