"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia MOHO",,,,,,,,,
"Hogares (001)",9435,696,333,207,113,86,44,46,7910
"Ocupantes presentes (002)",27342,1791,960,592,353,312,163,168,23003
"Casa independiente",,,,,,,,,
"Hogares (004)",8375,630,308,186,106,76,42,43,6984
"Ocupantes presentes (005)",24317,1606,883,530,336,276,158,158,20370
"Departamento en edificio",,,,,,,,,
"Hogares (007)",1,,,,,,,,1
"Ocupantes presentes (008)",5,,,,,,,,5
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",6,1,1,2,1,,,,1
"Ocupantes presentes (011)",13,1,1,6,4,,,,1
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",24,3,2,1,2,1,,1,14
"Ocupantes presentes (014)",76,6,9,3,7,5,,3,43
"Choza o cabaña",,,,,,,,,
"Hogares (016)",1019,61,21,18,4,8,2,2,903
"Ocupantes presentes (017)",2908,177,66,53,6,28,5,7,2566
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",8,1,1,,,1,,,5
"Ocupantes presentes (023)",17,1,1,,,3,,,12
"Otro tipo",,,,,,,,,
"Hogares (025)",2,,,,,,,,2
"Ocupantes presentes (026)",6,,,,,,,,6
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",2342,181,111,74,54,38,25,34,1825
"Ocupantes presentes (029)",7478,444,321,209,199,141,101,112,5951
"Casa independiente",,,,,,,,,
"Hogares (031)",2306,177,107,71,51,36,25,33,1806
"Ocupantes presentes (032)",7373,437,310,200,188,133,101,109,5895
"Departamento en edificio",,,,,,,,,
"Hogares (034)",1,,,,,,,,1
"Ocupantes presentes (035)",5,,,,,,,,5
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",6,1,1,2,1,,,,1
"Ocupantes presentes (038)",13,1,1,6,4,,,,1
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",24,3,2,1,2,1,,1,14
"Ocupantes presentes (041)",76,6,9,3,7,5,,3,43
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",5,,1,,,1,,,3
"Ocupantes presentes (050)",11,,1,,,3,,,7
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",7093,515,222,133,59,48,19,12,6085
"Ocupantes presentes (056)",19864,1347,639,383,154,171,62,56,17052
"Casa independiente",,,,,,,,,
"Hogares (058)",6069,453,201,115,55,40,17,10,5178
"Ocupantes presentes (059)",16944,1169,573,330,148,143,57,49,14475
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",1019,61,21,18,4,8,2,2,903
"Ocupantes presentes (071)",2908,177,66,53,6,28,5,7,2566
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",3,1,,,,,,,2
"Ocupantes presentes (077)",6,1,,,,,,,5
"Otro tipo",,,,,,,,,
"Hogares (079)",2,,,,,,,,2
"Ocupantes presentes (080)",6,,,,,,,,6
