"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia ISLAY (000)",80,70,10
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",22,21,1
"Casa pensión (003)",4,4,
"Hospital, clinica (004)",2,2,
"Asilo (006)",1,1,
"Aldea infantil, orfelinato, etc (007)",1,1,
"Otro (008)",30,23,7
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",20,18,2
