"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia OCROS (000)",9130,153,2404,2024,1653,1746,1150
"Jefe o Jefa (001)",2559,,4,313,648,883,711
"Esposa(o) / compañera(o) (002)",1411,,1,264,443,461,242
"Hijo(a) / hijastro(a) (003)",3352,104,1826,1007,278,132,5
"Yerno / nuera (004)",118,,,52,39,24,3
"Nieto(a) (005)",516,37,370,98,10,1,
"Padres / suegros (006)",107,,,,1,15,91
"Otro(a) pariente (007)",868,12,179,231,183,184,79
"Trabajador(a) del hogar (008)",10,,2,4,,3,1
"Pensionistas (009)",3,,1,,1,1,
"Otro(a) no pariente (010)",186,,21,55,50,42,18
"Hombres (011)",4743,84,1222,1099,859,933,546
"Jefe o Jefa (012)",1853,,1,233,491,669,459
"Esposa(o) / compañera(o) (013)",96,,1,26,31,26,12
"Hijo(a) / hijastro(a) (014)",1826,63,922,599,172,67,3
"Yerno / nuera (015)",57,,,17,24,14,2
"Nieto(a) (016)",267,15,193,53,5,1,
"Padres / suegros (017)",20,,,,,2,18
"Otro(a) pariente (018)",491,6,92,133,101,122,37
"Trabajador(a) del hogar (019)",4,,1,2,,,1
"Pensionistas (020)",3,,1,,1,1,
"Otro(a) no pariente (021)",126,,11,36,34,31,14
"Mujeres (022)",4387,69,1182,925,794,813,604
"Jefe o Jefa (023)",706,,3,80,157,214,252
"Esposa(o) / compañera(o) (024)",1315,,,238,412,435,230
"Hijo(a) / hijastro(a) (025)",1526,41,904,408,106,65,2
"Yerno / nuera (026)",61,,,35,15,10,1
"Nieto(a) (027)",249,22,177,45,5,,
"Padres / suegros (028)",87,,,,1,13,73
"Otro(a) pariente (029)",377,6,87,98,82,62,42
"Trabajador(a) del hogar (030)",6,,1,2,,3,
"Otro(a) no pariente (032)",60,,10,19,16,11,4
,,,,,,,
"URBANA (033)",5236,81,1299,1120,960,1037,739
"Jefe o Jefa (034)",1457,,2,157,348,505,445
"Esposa(o) / compañera(o) (035)",763,,,132,234,246,151
"Hijo(a) / hijastro(a) (036)",1820,52,947,556,167,94,4
"Yerno / nuera (037)",76,,,27,27,19,3
"Nieto(a) (038)",320,23,227,63,6,1,
"Padres / suegros (039)",74,,,,1,9,64
"Otro(a) pariente (040)",595,6,108,141,143,138,59
"Trabajador(a) del hogar (041)",7,,2,3,,1,1
"Otro(a) no pariente (043)",124,,13,41,34,24,12
"Hombres (044)",2705,44,681,608,482,557,333
"Jefe o Jefa (045)",1024,,,119,257,374,274
"Esposa(o) / compañera(o) (046)",37,,,9,11,11,6
"Hijo(a) / hijastro(a) (047)",1019,32,494,337,102,52,2
"Yerno / nuera (048)",35,,,8,13,12,2
"Nieto(a) (049)",171,9,125,34,2,1,
"Padres / suegros (050)",11,,,,,,11
"Otro(a) pariente (051)",330,3,54,75,77,92,29
"Trabajador(a) del hogar (052)",4,,1,2,,,1
"Otro(a) no pariente (054)",74,,7,24,20,15,8
"Mujeres (055)",2531,37,618,512,478,480,406
"Jefe o Jefa (056)",433,,2,38,91,131,171
"Esposa(o) / compañera(o) (057)",726,,,123,223,235,145
"Hijo(a) / hijastro(a) (058)",801,20,453,219,65,42,2
"Yerno / nuera (059)",41,,,19,14,7,1
"Nieto(a) (060)",149,14,102,29,4,,
"Padres / suegros (061)",63,,,,1,9,53
"Otro(a) pariente (062)",265,3,54,66,66,46,30
"Trabajador(a) del hogar (063)",3,,1,1,,1,
"Otro(a) no pariente (065)",50,,6,17,14,9,4
,,,,,,,
"RURAL (066)",3894,72,1105,904,693,709,411
"Jefe o Jefa (067)",1102,,2,156,300,378,266
"Esposa(o) / compañera(o) (068)",648,,1,132,209,215,91
"Hijo(a) / hijastro(a) (069)",1532,52,879,451,111,38,1
"Yerno / nuera (070)",42,,,25,12,5,
"Nieto(a) (071)",196,14,143,35,4,,
"Padres / suegros (072)",33,,,,,6,27
"Otro(a) pariente (073)",273,6,71,90,40,46,20
"Trabajador(a) del hogar (074)",3,,,1,,2,
"Pensionistas (075)",3,,1,,1,1,
"Otro(a) no pariente (076)",62,,8,14,16,18,6
"Hombres (077)",2038,40,541,491,377,376,213
"Jefe o Jefa (078)",829,,1,114,234,295,185
"Esposa(o) / compañera(o) (079)",59,,1,17,20,15,6
"Hijo(a) / hijastro(a) (080)",807,31,428,262,70,15,1
"Yerno / nuera (081)",22,,,9,11,2,
"Nieto(a) (082)",96,6,68,19,3,,
"Padres / suegros (083)",9,,,,,2,7
"Otro(a) pariente (084)",161,3,38,58,24,30,8
"Pensionistas (086)",3,,1,,1,1,
"Otro(a) no pariente (087)",52,,4,12,14,16,6
"Mujeres (088)",1856,32,564,413,316,333,198
"Jefe o Jefa (089)",273,,1,42,66,83,81
"Esposa(o) / compañera(o) (090)",589,,,115,189,200,85
"Hijo(a) / hijastro(a) (091)",725,21,451,189,41,23,
"Yerno / nuera (092)",20,,,16,1,3,
"Nieto(a) (093)",100,8,75,16,1,,
"Padres / suegros (094)",24,,,,,4,20
"Otro(a) pariente (095)",112,3,33,32,16,16,12
"Trabajador(a) del hogar (096)",3,,,1,,2,
"Otro(a) no pariente (098)",10,,4,2,2,2,
