"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia MOYOBAMBA (000)",41625,34662,2690,1903,2370
"Sin nivel (001)",1901,1814,62,16,9
"Educación inicial (002)",69,62,3,2,2
"Primaria (003)",19865,18744,830,171,120
"Secundaria (004)",12428,10643,900,362,523
"Superior no univ. incompleta (005)",1411,929,160,143,179
"Superior no univ. completa (006)",3124,1368,392,663,701
"Superior univ. incompleta (007)",782,421,86,97,178
"Superior univ. completa (008)",2045,681,257,449,658
"De 06 a 14 años (010)",1386,1305,68,10,3
"Sin nivel (011)",63,59,4,,
"Educación inicial (012)",12,9,1,1,1
"Primaria (013)",1030,978,42,9,1
"Secundaria (014)",281,259,21,,1
"De 15 a 29 años (020)",15665,13403,1086,581,595
"Sin nivel (021)",310,294,13,2,1
"Educación inicial (022)",33,30,2,1,
"Primaria (023)",6524,6197,241,55,31
"Secundaria (024)",6277,5473,493,167,144
"Superior no univ. incompleta (025)",720,512,86,60,62
"Superior no univ. completa (026)",978,498,142,166,172
"Superior univ. incompleta (027)",304,189,35,29,51
"Superior univ. completa (028)",519,210,74,101,134
"De 30 a 44 años (030)",14330,11212,1033,955,1130
"Sin nivel (031)",488,453,22,9,4
"Educación inicial (032)",24,23,,,1
"Primaria (033)",6282,5883,299,62,38
"Secundaria (034)",4040,3432,278,124,206
"Superior no univ. incompleta (035)",520,317,59,64,80
"Superior no univ. completa (036)",1624,652,200,393,379
"Superior univ. incompleta (037)",314,147,35,51,81
"Superior univ. completa (038)",1038,305,140,252,341
"De 45 a 64 años (040)",8556,7129,461,345,621
"Sin nivel (041)",679,654,18,4,3
"Primaria (043)",4869,4563,221,42,43
"Secundaria (044)",1731,1394,104,66,167
"Superior no univ. incompleta (045)",168,97,15,19,37
"Superior no univ. completa (046)",496,196,49,103,148
"Superior univ. incompleta (047)",153,78,14,17,44
"Superior univ. completa (048)",460,147,40,94,179
"De 65 y más años (050)",1688,1613,42,12,21
"Sin nivel (051)",361,354,5,1,1
"Primaria (053)",1160,1123,27,3,7
"Secundaria (054)",99,85,4,5,5
"Superior no univ. incompleta (055)",3,3,,,
"Superior no univ. completa (056)",26,22,1,1,2
"Superior univ. incompleta (057)",11,7,2,,2
