"CUADRO Nº 13: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DEL SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DE AGUA",,,
,,1,2,3,4-6
,,,,,
"Provincia ALTO AMAZONAS",,,,,
"Viviendas particulares (001)",480,88,41,140,211
"Ocupantes presentes (002)",2273,426,170,682,995
"Casa independiente",,,,,
"Viviendas particulares (004)",459,83,36,135,205
"Ocupantes presentes (005)",2190,409,148,659,974
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Viviendas particulares (010)",10,2,1,2,5
"Ocupantes presentes (011)",36,6,3,7,20
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (013)",1,,,1,
"Ocupantes presentes (014)",5,,,5,
"Choza o cabaña",,,,,
"Viviendas particulares (016)",1,1,,,
"Ocupantes presentes (017)",6,6,,,
"Vivienda improvisada",,,,,
"Viviendas particulares (019)",8,2,4,2,
"Ocupantes presentes (020)",35,5,19,11,
"Local no dest.para hab. humana",,,,,
"Viviendas particulares (022)",1,,,,1
"Ocupantes presentes (023)",1,,,,1
"Otro tipo",,,,,
,,,,,
URBANA,,,,,
"Viviendas particulares (028)",478,86,41,140,211
"Ocupantes presentes (029)",2260,413,170,682,995
"Casa independiente",,,,,
"Viviendas particulares (031)",458,82,36,135,205
"Ocupantes presentes (032)",2183,402,148,659,974
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Viviendas particulares (037)",10,2,1,2,5
"Ocupantes presentes (038)",36,6,3,7,20
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (040)",1,,,1,
"Ocupantes presentes (041)",5,,,5,
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Viviendas particulares (046)",8,2,4,2,
"Ocupantes presentes (047)",35,5,19,11,
"Local no dest.para hab. humana",,,,,
"Viviendas particulares (049)",1,,,,1
"Ocupantes presentes (050)",1,,,,1
"Otro tipo",,,,,
,,,,,
RURAL,,,,,
"Viviendas particulares (055)",2,2,,,
"Ocupantes presentes (056)",13,13,,,
"Casa independiente",,,,,
"Viviendas particulares (058)",1,1,,,
"Ocupantes presentes (059)",7,7,,,
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Vivienda en casa de vecindad",,,,,
"Choza o cabaña",,,,,
"Viviendas particulares (070)",1,1,,,
"Ocupantes presentes (071)",6,6,,,
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
