"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia HUARI (000)",58721,2814,15077,11198,7936,7131,5141,3839,5585
"Quechua (001)",45830,1889,11308,8542,5587,5502,4326,3469,5207
"Aymara (002)",59,4,11,7,8,12,5,6,6
"Ashaninca (003)",6,1,1,,3,1,,,
"Otra lengua nativa (004)",32,2,9,6,4,6,2,2,1
"Castellano (005)",12619,916,3730,2624,2309,1583,797,339,321
"Idioma extranjero (006)",9,,2,2,1,2,1,1,
"Es sordomudo/a (007)",166,2,16,17,24,25,10,22,50
"Hombres (009)",30161,1411,7593,6036,4428,3775,2614,1783,2521
"Quechua (010)",22594,930,5654,4610,2800,2663,2068,1558,2311
"Aymara (011)",31,3,7,3,6,8,2,1,1
"Ashaninca (012)",4,,1,,3,,,,
"Otra lengua nativa (013)",17,1,4,3,3,3,1,1,1
"Castellano (014)",7424,475,1915,1410,1601,1090,536,210,187
"Idioma extranjero (015)",7,,2,1,1,1,1,1,
"Es sordomudo/a (016)",84,2,10,9,14,10,6,12,21
"Mujeres (018)",28560,1403,7484,5162,3508,3356,2527,2056,3064
"Quechua (019)",23236,959,5654,3932,2787,2839,2258,1911,2896
"Aymara (020)",28,1,4,4,2,4,3,5,5
"Ashaninca (021)",2,1,,,,1,,,
"Otra lengua nativa (022)",15,1,5,3,1,3,1,1,
"Castellano (023)",5195,441,1815,1214,708,493,261,129,134
"Idioma extranjero (024)",2,,,1,,1,,,
"Es sordomudo/a (025)",82,,6,8,10,15,4,10,29
,,,,,,,,,
"URBANA (027)",20992,1017,5168,4067,2893,2751,1924,1279,1893
"Quechua (028)",12975,406,2590,2375,1741,1843,1398,1022,1600
"Aymara (029)",20,1,3,4,2,5,4,1,
"Ashaninca (030)",3,1,1,,1,,,,
"Otra lengua nativa (031)",26,2,7,4,4,6,2,1,
"Castellano (032)",7924,607,2564,1676,1139,892,516,248,282
"Idioma extranjero (033)",9,,2,2,1,2,1,1,
"Es sordomudo/a (034)",35,,1,6,5,3,3,6,11
"Hombres (036)",10585,533,2670,2137,1458,1345,969,615,858
"Quechua (037)",6377,218,1344,1288,841,861,671,467,687
"Aymara (038)",8,1,2,,1,3,1,,
"Ashaninca (039)",2,,1,,1,,,,
"Otra lengua nativa (040)",15,1,4,2,3,3,1,1,
"Castellano (041)",4156,313,1316,842,607,477,293,143,165
"Idioma extranjero (042)",7,,2,1,1,1,1,1,
"Es sordomudo/a (043)",20,,1,4,4,,2,3,6
"Mujeres (045)",10407,484,2498,1930,1435,1406,955,664,1035
"Quechua (046)",6598,188,1246,1087,900,982,727,555,913
"Aymara (047)",12,,1,4,1,2,3,1,
"Ashaninca (048)",1,1,,,,,,,
"Otra lengua nativa (049)",11,1,3,2,1,3,1,,
"Castellano (050)",3768,294,1248,834,532,415,223,105,117
"Idioma extranjero (051)",2,,,1,,1,,,
"Es sordomudo/a (052)",15,,,2,1,3,1,3,5
,,,,,,,,,
"RURAL (054)",37729,1797,9909,7131,5043,4380,3217,2560,3692
"Quechua (055)",32855,1483,8718,6167,3846,3659,2928,2447,3607
"Aymara (056)",39,3,8,3,6,7,1,5,6
"Ashaninca (057)",3,,,,2,1,,,
"Otra lengua nativa (058)",6,,2,2,,,,1,1
"Castellano (059)",4695,309,1166,948,1170,691,281,91,39
"Es sordomudo/a (061)",131,2,15,11,19,22,7,16,39
"Hombres (063)",19576,878,4923,3899,2970,2430,1645,1168,1663
"Quechua (064)",16217,712,4310,3322,1959,1802,1397,1091,1624
"Aymara (065)",23,2,5,3,5,5,1,1,1
"Ashaninca (066)",2,,,,2,,,,
"Otra lengua nativa (067)",2,,,1,,,,,1
"Castellano (068)",3268,162,599,568,994,613,243,67,22
"Es sordomudo/a (070)",64,2,9,5,10,10,4,9,15
"Mujeres (072)",18153,919,4986,3232,2073,1950,1572,1392,2029
"Quechua (073)",16638,771,4408,2845,1887,1857,1531,1356,1983
"Aymara (074)",16,1,3,,1,2,,4,5
"Ashaninca (075)",1,,,,,1,,,
"Otra lengua nativa (076)",4,,2,1,,,,1,
"Castellano (077)",1427,147,567,380,176,78,38,24,17
"Es sordomudo/a (079)",67,,6,6,9,12,3,7,24
