"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia SANTA (000)",396434,6705,103981,107674,86112,64741,27221
"Hombres (001)",197865,3436,52990,53854,42082,31435,14068
"Mujeres (002)",198569,3269,50991,53820,44030,33306,13153
"Viviendas particulares (003)",392074,6610,103822,106175,84656,63757,27054
"Hombres (004)",194585,3392,52906,52717,40917,30692,13961
"Mujeres (005)",197489,3218,50916,53458,43739,33065,13093
"Viviendas colectivas (006)",3834,93,150,1334,1274,847,136
"Hombres (007)",2830,42,75,1001,999,627,86
"Mujeres (008)",1004,51,75,333,275,220,50
"Otro tipo (009)",526,2,9,165,182,137,31
"Hombres (010)",450,2,9,136,166,116,21
"Mujeres (011)",76,,,29,16,21,10
,,,,,,,
"URBANA (012)",370476,6259,95860,100950,81332,60883,25192
"Hombres (013)",183965,3218,48690,50230,39489,29334,13004
"Mujeres (014)",186511,3041,47170,50720,41843,31549,12188
"Viviendas particulares (015)",366116,6164,95701,99451,79876,59899,25025
"Hombres (016)",180685,3174,48606,49093,38324,28591,12897
"Mujeres (017)",185431,2990,47095,50358,41552,31308,12128
"Viviendas colectivas (018)",3834,93,150,1334,1274,847,136
"Hombres (019)",2830,42,75,1001,999,627,86
"Mujeres (020)",1004,51,75,333,275,220,50
"Otro tipo (021)",526,2,9,165,182,137,31
"Hombres (022)",450,2,9,136,166,116,21
"Mujeres (023)",76,,,29,16,21,10
,,,,,,,
"RURAL (024)",25958,446,8121,6724,4780,3858,2029
"Hombres (025)",13900,218,4300,3624,2593,2101,1064
"Mujeres (026)",12058,228,3821,3100,2187,1757,965
"Viviendas particulares (027)",25958,446,8121,6724,4780,3858,2029
"Hombres (028)",13900,218,4300,3624,2593,2101,1064
"Mujeres (029)",12058,228,3821,3100,2187,1757,965
