"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CHUPACA (000)",51878,3977,5734,1275,40940
"Menos de 1 año (001)",813,281,71,15,446
"De 1 a 14 años (002)",15373,2887,1600,298,10601
"De 15 a 29 años (003)",13413,478,846,283,11814
"De 30 a 44 años (004)",9508,176,1234,307,7804
"De 45 a 64 años (005)",8118,96,1322,238,6472
"De 65 y mas años (006)",4653,59,661,134,3803
"Hombres (008)",25096,1918,2934,727,19543
"Menos de 1 año (009)",409,141,41,3,224
"De 1 a 14 años (010)",7787,1451,826,141,5372
"De 15 a 29 años (011)",6789,204,411,172,6008
"De 30 a 44 años (012)",4370,48,570,187,3574
"De 45 a 64 años (013)",3688,42,685,148,2819
"De 65 y mas años (014)",2053,32,401,76,1546
"Mujeres (016)",26782,2059,2800,548,21397
"Menos de 1 año (017)",404,140,30,12,222
"De 1 a 14 años (018)",7586,1436,774,157,5229
"De 15 a 29 años (019)",6624,274,435,111,5806
"De 30 a 44 años (020)",5138,128,664,120,4230
"De 45 a 64 años (021)",4430,54,637,90,3653
"De 65 y mas años (022)",2600,27,260,58,2257
,,,,,
"URBANA (024)",31328,2108,4383,1033,23842
"Menos de 1 año (025)",492,159,57,14,262
"De 1 a 14 años (026)",8802,1430,1229,256,5897
"De 15 a 29 años (027)",8320,288,633,225,7182
"De 30 a 44 años (028)",6093,115,956,259,4772
"De 45 a 64 años (029)",4914,68,1031,184,3638
"De 65 y mas años (030)",2707,48,477,95,2091
"Hombres (032)",15295,1005,2223,591,11494
"Menos de 1 año (033)",247,80,35,3,129
"De 1 a 14 años (034)",4510,722,643,123,3024
"De 15 a 29 años (035)",4207,114,306,134,3659
"De 30 a 44 años (036)",2863,33,430,159,2246
"De 45 a 64 años (037)",2287,32,528,113,1617
"De 65 y mas años (038)",1181,24,281,59,819
"Mujeres (040)",16033,1103,2160,442,12348
"Menos de 1 año (041)",245,79,22,11,133
"De 1 a 14 años (042)",4292,708,586,133,2873
"De 15 a 29 años (043)",4113,174,327,91,3523
"De 30 a 44 años (044)",3230,82,526,100,2526
"De 45 a 64 años (045)",2627,36,503,71,2021
"De 65 y mas años (046)",1526,24,196,36,1272
,,,,,
"RURAL (048)",20550,1869,1351,242,17098
"Menos de 1 año (049)",321,122,14,1,184
"De 1 a 14 años (050)",6571,1457,371,42,4704
"De 15 a 29 años (051)",5093,190,213,58,4632
"De 30 a 44 años (052)",3415,61,278,48,3032
"De 45 a 64 años (053)",3204,28,291,54,2834
"De 65 y mas años (054)",1946,11,184,39,1712
"Hombres (056)",9801,913,711,136,8049
"Menos de 1 año (057)",162,61,6,,95
"De 1 a 14 años (058)",3277,729,183,18,2348
"De 15 a 29 años (059)",2582,90,105,38,2349
"De 30 a 44 años (060)",1507,15,140,28,1328
"De 45 a 64 años (061)",1401,10,157,35,1202
"De 65 y mas años (062)",872,8,120,17,727
"Mujeres (064)",10749,956,640,106,9049
"Menos de 1 año (065)",159,61,8,1,89
"De 1 a 14 años (066)",3294,728,188,24,2356
"De 15 a 29 años (067)",2511,100,108,20,2283
"De 30 a 44 años (068)",1908,46,138,20,1704
"De 45 a 64 años (069)",1803,18,134,19,1632
"De 65 y mas años (070)",1074,3,64,22,985
