"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia HUACAYBAMBA (000)",18919,8926,808,162,9034
"Quechua (001)",14920,7189,352,92,7295
"Aymara (002)",19,11,4,1,5
"Asháninka (003)",2,2,,,
"Otra lengua nativa (004)",2,1,,,1
"Castellano (005)",3869,1703,451,69,1647
"Idioma Extranjero (006)",1,,,,1
"Es Sordomudo/a (007)",106,20,1,,85
"Hombres (009)",9439,4318,428,98,4604
"Quechua (010)",7318,3446,185,52,3642
"Aymara (011)",8,5,1,1,3
"Asháninka (012)",1,1,,,
"Otra lengua nativa (013)",1,,,,1
"Castellano (014)",2068,855,242,45,926
"Es Sordomudo/a (016)",43,11,,,32
"Mujeres (018)",9480,4608,380,64,4430
"Quechua (019)",7602,3743,167,40,3653
"Aymara (020)",11,6,3,,2
"Asháninka (021)",1,1,,,
"Otra lengua nativa (022)",1,1,,,
"Castellano (023)",1801,848,209,24,721
"Idioma Extranjero (024)",1,,,,1
"Es Sordomudo/a (025)",63,9,1,,53
,,,,,
"URBANA (027)",3483,1319,525,69,1571
"Quechua (028)",1978,771,179,27,1002
"Aymara (029)",2,,2,,
"Asháninka (030)",1,1,,,
"Castellano (032)",1492,545,344,42,561
"Idioma Extranjero (033)",1,,,,1
"Es Sordomudo/a (034)",9,2,,,7
"Hombres (036)",1749,614,281,54,801
"Quechua (037)",953,336,96,21,501
"Asháninka (039)",1,1,,,
"Castellano (041)",792,275,185,33,299
"Es Sordomudo/a (043)",3,2,,,1
"Mujeres (045)",1734,705,244,15,770
"Quechua (046)",1025,435,83,6,501
"Aymara (047)",2,,2,,
"Castellano (050)",700,270,159,9,262
"Idioma Extranjero (051)",1,,,,1
"Es Sordomudo/a (052)",6,,,,6
,,,,,
"RURAL (054)",15436,7607,283,93,7463
"Quechua (055)",12942,6418,173,65,6293
"Aymara (056)",17,11,2,1,5
"Asháninka (057)",1,1,,,
"Otra lengua nativa (058)",2,1,,,1
"Castellano (059)",2377,1158,107,27,1086
"Es Sordomudo/a (061)",97,18,1,,78
"Hombres (063)",7690,3704,147,44,3803
"Quechua (064)",6365,3110,89,31,3141
"Aymara (065)",8,5,1,1,3
"Otra lengua nativa (067)",1,,,,1
"Castellano (068)",1276,580,57,12,627
"Es Sordomudo/a (070)",40,9,,,31
"Mujeres (072)",7746,3903,136,49,3660
"Quechua (073)",6577,3308,84,34,3152
"Aymara (074)",9,6,1,,2
"Asháninka (075)",1,1,,,
"Otra lengua nativa (076)",1,1,,,
"Castellano (077)",1101,578,50,15,459
"Es Sordomudo/a (079)",57,9,1,,47
