"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CANDARAVE (000)",2443,2367,10,521,580,405,473,261,101,16,76,7660
"De 12 a 14 años (001)",2,,,,,,,,,,2,
"De 15 a 19 años (002)",53,51,,45,5,,1,,,,2,59
"De 20 a 24 años (003)",205,180,,141,31,8,,,,,25,227
"De 25 a 29 años (004)",263,246,3,117,89,29,7,,1,,17,420
"De 30 a 34 años (005)",308,299,,75,129,65,27,3,,,9,663
"De 35 a 39 años (006)",275,266,1,39,105,67,47,7,,,9,691
"De 40 a 44 años (007)",251,248,,20,78,58,68,18,6,,3,812
"De 45 a 49 años (008)",219,217,,18,41,60,60,34,4,,2,788
"De 50 y más años (009)",867,860,6,66,102,118,263,199,90,16,7,4000
"Conviviente (010)",867,853,5,257,276,146,113,44,11,1,14,2127
"De 12 a 14 años (011)",2,,,,,,,,,,2,
"De 15 a 19 años (012)",33,31,,28,3,,,,,,2,34
"De 20 a 24 años (013)",122,118,,88,25,5,,,,,4,153
"De 25 a 29 años (014)",163,160,3,69,63,18,6,,1,,3,282
"De 30 a 34 años (015)",176,174,,31,86,42,12,3,,,2,398
"De 35 a 39 años (016)",130,129,1,17,50,29,30,2,,,1,344
"De 40 a 44 años (017)",88,88,,6,28,24,26,4,,,,275
"De 45 a 49 años (018)",61,61,,6,10,18,16,10,1,,,223
"De 50 y más años (019)",92,92,1,12,11,10,23,25,9,1,,418
"Separado(a) (020)",102,102,,31,24,18,17,4,8,,,303
"De 15 a 19 años (022)",1,1,,1,,,,,,,,1
"De 20 a 24 años (023)",10,10,,10,,,,,,,,10
"De 25 a 29 años (024)",14,14,,10,3,1,,,,,,19
"De 30 a 34 años (025)",15,15,,3,6,3,3,,,,,37
"De 35 a 39 años (026)",12,12,,2,5,5,,,,,,27
