"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia HUANCAVELICA (000)",74314,48119,1061,574,22800,612,10,106,50,982
"Hombres (001)",29507,24645,720,287,2895,288,7,58,48,559
"Mujeres (002)",44807,23474,341,287,19905,324,3,48,2,423
"De 06 a 14 años (003)",34321,33547,,,334,141,,13,,286
"Hombres (004)",17402,17054,,,118,86,,5,,139
"Mujeres (005)",16919,16493,,,216,55,,8,,147
"De 15 a 29 años (006)",21799,14212,13,133,7087,,2,29,50,273
"Hombres (007)",8622,7408,8,61,916,,1,17,48,163
"Mujeres (008)",13177,6804,5,72,6171,,1,12,2,110
"De 30 a 44 años (009)",6794,304,44,127,6183,,4,17,,115
"Hombres (010)",861,168,24,63,516,,2,12,,76
"Mujeres (011)",5933,136,20,64,5667,,2,5,,39
"De 45 a 64 años (012)",6368,42,454,159,5546,13,4,21,,129
"Hombres (013)",1099,9,289,78,613,4,4,11,,91
"Mujeres (014)",5269,33,165,81,4933,9,,10,,38
"De 65 y más años (015)",5032,14,550,155,3650,458,,26,,179
"Hombres (016)",1523,6,399,85,732,198,,13,,90
"Mujeres (017)",3509,8,151,70,2918,260,,13,,89
,,,,,,,,,,
"AREA URBANA (018)",32773,21175,803,312,9752,197,9,33,37,455
"Hombres (019)",13455,10798,520,143,1586,84,6,20,36,262
"Mujeres (020)",19318,10377,283,169,8166,113,3,13,1,193
"De 06 a 14 años (021)",12917,12628,,,176,43,,2,,68
"Hombres (022)",6615,6472,,,74,32,,2,,35
"Mujeres (023)",6302,6156,,,102,11,,,,33
"De 15 a 29 años (024)",11537,8282,7,68,2957,,2,12,37,172
"Hombres (025)",4889,4190,5,30,524,,1,6,36,97
"Mujeres (026)",6648,4092,2,38,2433,,1,6,1,75
"De 30 a 44 años (027)",3182,237,28,59,2772,,4,8,,74
"Hombres (028)",539,127,12,25,320,,2,8,,45
"Mujeres (029)",2643,110,16,34,2452,,2,,,29
"De 45 a 64 años (030)",2823,21,336,81,2315,2,3,4,,61
"Hombres (031)",617,5,198,36,328,,3,2,,45
"Mujeres (032)",2206,16,138,45,1987,2,,2,,16
"De 65 y más años (033)",2314,7,432,104,1532,152,,7,,80
"Hombres (034)",795,4,305,52,340,52,,2,,40
"Mujeres (035)",1519,3,127,52,1192,100,,5,,40
,,,,,,,,,,
"AREA RURAL (036)",41541,26944,258,262,13048,415,1,73,13,527
"Hombres (037)",16052,13847,200,144,1309,204,1,38,12,297
"Mujeres (038)",25489,13097,58,118,11739,211,,35,1,230
"De 06 a 14 años (039)",21404,20919,,,158,98,,11,,218
"Hombres (040)",10787,10582,,,44,54,,3,,104
"Mujeres (041)",10617,10337,,,114,44,,8,,114
"De 15 a 29 años (042)",10262,5930,6,65,4130,,,17,13,101
"Hombres (043)",3733,3218,3,31,392,,,11,12,66
"Mujeres (044)",6529,2712,3,34,3738,,,6,1,35
"De 30 a 44 años (045)",3612,67,16,68,3411,,,9,,41
"Hombres (046)",322,41,12,38,196,,,4,,31
"Mujeres (047)",3290,26,4,30,3215,,,5,,10
"De 45 a 64 años (048)",3545,21,118,78,3231,11,1,17,,68
"Hombres (049)",482,4,91,42,285,4,1,9,,46
"Mujeres (050)",3063,17,27,36,2946,7,,8,,22
"De 65 y más años (051)",2718,7,118,51,2118,306,,19,,99
"Hombres (052)",728,2,94,33,392,146,,11,,50
"Mujeres (053)",1990,5,24,18,1726,160,,8,,49
