"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CANCHIS (000)",26349,200,9043,9323,2952,983,413,152,15,,3268
"Sin Nivel (001)",7469,91,2719,2653,833,312,144,87,9,,621
"Educación Inicial (002)",53,,25,12,4,,,,,,12
"Primaria (003)",8879,78,3763,3130,810,248,128,44,5,,673
"Secundaria (004)",5494,27,2018,2012,450,140,41,10,1,,795
"Sup. no Univ. Incompleta (005)",963,1,136,374,101,32,6,,,,313
"Sup. no Univ. Completa (006)",1972,2,226,697,471,119,40,2,,,415
"Sup. Univ. Incompleta (007)",513,,65,153,53,19,5,2,,,216
"Sup. Univ. Completa (008)",1006,1,91,292,230,113,49,7,,,223
,,,,,,,,,,,
"URBANA (010)",15579,102,4817,5404,1869,690,298,104,10,,2285
"Sin Nivel (011)",2584,35,848,833,294,147,71,55,6,,295
"Educación Inicial (012)",13,,4,4,,,,,,,5
"Primaria (013)",4759,44,1986,1651,417,163,98,30,3,,367
"Secundaria (014)",4090,19,1494,1492,359,117,32,9,1,,567
"Sup. no Univ. Incompleta (015)",840,1,120,336,88,26,5,,,,264
"Sup. no Univ. Completa (016)",1833,2,213,655,436,110,39,2,,,376
"Sup. Univ. Incompleta (017)",485,,62,148,52,17,5,2,,,199
"Sup. Univ. Completa (018)",975,1,90,285,223,110,48,6,,,212
,,,,,,,,,,,
"RURAL (020)",10770,98,4226,3919,1083,293,115,48,5,,983
"Sin Nivel (021)",4885,56,1871,1820,539,165,73,32,3,,326
"Educación Inicial (022)",40,,21,8,4,,,,,,7
"Primaria (023)",4120,34,1777,1479,393,85,30,14,2,,306
"Secundaria (024)",1404,8,524,520,91,23,9,1,,,228
"Sup. no Univ. Incompleta (025)",123,,16,38,13,6,1,,,,49
"Sup. no Univ. Completa (026)",139,,13,42,35,9,1,,,,39
"Sup. Univ. Incompleta (027)",28,,3,5,1,2,,,,,17
"Sup. Univ. Completa (028)",31,,1,7,7,3,1,1,,,11
