"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia YAULI (000)",901,234,667
"Sin nivel (001)",8,2,6
"Educación inicial (002)",1,,1
"Primaria (003)",91,25,66
"Secundaria (004)",490,126,364
"Superior no univ. incompleta (005)",93,31,62
"Superior no univ. completa (006)",109,20,89
"Superior univ. incompleta (007)",33,13,20
"Superior univ. completa (008)",76,17,59
"Hombres (010)",667,158,509
"Sin nivel (011)",6,2,4
"Educación inicial (012)",1,,1
"Primaria (013)",73,21,52
"Secundaria (014)",387,89,298
"Superior no univ. incompleta (015)",63,18,45
"Superior no univ. completa (016)",68,12,56
"Superior univ. incompleta (017)",27,10,17
"Superior univ. completa (018)",42,6,36
"Mujeres (020)",234,76,158
"Sin nivel (021)",2,,2
"Primaria (023)",18,4,14
"Secundaria (024)",103,37,66
"Superior no univ. incompleta (025)",30,13,17
"Superior no univ. completa (026)",41,8,33
"Superior univ. incompleta (027)",6,3,3
"Superior univ. completa (028)",34,11,23
,,,
"AREA URBANA (030)",810,210,600
"Sin nivel (031)",6,,6
"Educación inicial (032)",1,,1
"Primaria (033)",78,20,58
"Secundaria (034)",436,116,320
"Superior no univ. incompleta (035)",86,28,58
"Superior no univ. completa (036)",100,19,81
"Superior univ. incompleta (037)",31,13,18
"Superior univ. completa (038)",72,14,58
"Hombres (040)",591,139,452
"Sin nivel (041)",4,,4
"Educación inicial (042)",1,,1
"Primaria (043)",61,16,45
"Secundaria (044)",338,80,258
"Superior no univ. incompleta (045)",58,16,42
"Superior no univ. completa (046)",63,11,52
"Superior univ. incompleta (047)",25,10,15
"Superior univ. completa (048)",41,6,35
"Mujeres (050)",219,71,148
"Sin nivel (051)",2,,2
"Primaria (053)",17,4,13
"Secundaria (054)",98,36,62
"Superior no univ. incompleta (055)",28,12,16
"Superior no univ. completa (056)",37,8,29
"Superior univ. incompleta (057)",6,3,3
"Superior univ. completa (058)",31,8,23
,,,
"AREA RURAL (060)",91,24,67
"Sin nivel (061)",2,2,
"Primaria (063)",13,5,8
"Secundaria (064)",54,10,44
"Superior no univ. incompleta (065)",7,3,4
"Superior no univ. completa (066)",9,1,8
"Superior univ. incompleta (067)",2,,2
"Superior univ. completa (068)",4,3,1
"Hombres (070)",76,19,57
"Sin nivel (071)",2,2,
"Primaria (073)",12,5,7
"Secundaria (074)",49,9,40
"Superior no univ. incompleta (075)",5,2,3
"Superior no univ. completa (076)",5,1,4
"Superior univ. incompleta (077)",2,,2
"Superior univ. completa (078)",1,,1
"Mujeres (080)",15,5,10
"Primaria (083)",1,,1
"Secundaria (084)",5,1,4
"Superior no univ. incompleta (085)",2,1,1
"Superior no univ. completa (086)",4,,4
"Superior univ. completa (088)",3,3,
