"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia ATALAYA (000)",9243,8778,77,1761,1622,1359,2002,1180,579,198,465,32597
"De 12 a 14 años (001)",74,23,2,19,2,,,,,,51,23
"De 15 a 19 años (002)",1030,904,18,621,213,46,6,,,,126,1209
"De 20 a 24 años (003)",1644,1549,24,517,507,304,174,23,,,95,3333
"De 25 a 29 años (004)",1445,1384,7,258,331,340,359,80,9,,61,4073
"De 30 a 34 años (005)",1222,1187,4,134,204,217,389,194,39,6,35,4564
"De 35 a 39 años (006)",1076,1060,4,62,131,159,349,240,97,18,16,4904
"De 40 a 44 años (007)",806,783,5,33,93,93,245,194,85,35,23,3960
"De 45 a 49 años (008)",667,653,3,43,42,77,165,151,118,54,14,3665
"De 50 y más años (009)",1279,1235,10,74,99,123,315,298,231,85,44,6866
"PEA (010)",3317,3171,33,638,620,505,741,392,181,61,146,11382
"De 12 a 14 años (011)",13,7,1,6,,,,,,,6,6
"De 15 a 19 años (012)",261,233,5,160,55,11,2,,,,28,311
"De 20 a 24 años (013)",549,510,14,174,159,95,62,6,,,39,1083
"De 25 a 29 años (014)",546,519,3,127,138,106,112,26,7,,27,1426
"De 30 a 34 años (015)",484,468,,73,90,90,130,70,11,4,16,1673
"De 35 a 39 años (016)",421,416,1,37,74,78,129,64,24,9,5,1690
"De 40 a 44 años (017)",386,376,3,16,52,51,128,78,35,13,10,1799
"De 45 a 49 años (018)",261,253,2,21,15,38,71,54,39,13,8,1299
"De 50 y más años (019)",396,389,4,24,37,36,107,94,65,22,7,2095
"Ocupada (020)",3195,3057,33,608,595,493,720,373,174,61,138,10990
"De 12 a 14 años (021)",13,7,1,6,,,,,,,6,6
