"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUANCABAMBA (000)",563,280,283
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",51,51,
"Casa pensión (003)",19,19,
"Hospital, clinica (004)",50,50,
"Cárcel, centro de readaptación social (005)",44,,44
"Asilo (006)",12,12,
"Aldea infantil, orfelinato, etc (007)",59,,59
"Otro (008)",224,46,178
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",104,102,2
