"CUADRO Nº 11: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA POTABLE, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA POTABLE",,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)"
,,,,
"Provincia OYON",,,,
"Viviendas particulares (001)",3541,2614,825,102
"Ocupantes presentes (002)",14005,10419,3198,388
"Casa independiente",,,,
"Viviendas particulares (004)",3313,2475,739,99
"Ocupantes presentes (005)",13015,9834,2804,377
"Departamento en edificio",,,,
"Viviendas particulares (007)",25,19,6,
"Ocupantes presentes (008)",78,58,20,
"Vivienda en quinta",,,,
"Viviendas particulares (010)",90,68,22,
"Ocupantes presentes (011)",428,306,122,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (013)",107,47,58,2
"Ocupantes presentes (014)",473,214,252,7
"Choza o cabaña",,,,
"Viviendas particulares (016)",1,,,1
"Ocupantes presentes (017)",4,,,4
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (022)",5,5,,
"Ocupantes presentes (023)",7,7,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (028)",3263,2445,746,72
"Ocupantes presentes (029)",12793,9627,2896,270
"Casa independiente",,,,
"Viviendas particulares (031)",3058,2322,667,69
"Ocupantes presentes (032)",11905,9116,2530,259
"Departamento en edificio",,,,
"Viviendas particulares (034)",25,19,6,
"Ocupantes presentes (035)",78,58,20,
"Vivienda en quinta",,,,
"Viviendas particulares (037)",81,63,18,
"Ocupantes presentes (038)",382,272,110,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (040)",93,36,55,2
"Ocupantes presentes (041)",417,174,236,7
"Choza o cabaña",,,,
"Viviendas particulares (043)",1,,,1
"Ocupantes presentes (044)",4,,,4
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (049)",5,5,,
"Ocupantes presentes (050)",7,7,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (055)",278,169,79,30
"Ocupantes presentes (056)",1212,792,302,118
"Casa independiente",,,,
"Viviendas particulares (058)",255,153,72,30
"Ocupantes presentes (059)",1110,718,274,118
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (064)",9,5,4,
"Ocupantes presentes (065)",46,34,12,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (067)",14,11,3,
"Ocupantes presentes (068)",56,40,16,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
URBANA,,,,
"Viviendas particulares (109)",2878,2122,671,85
"Ocupantes presentes (110)",11886,8828,2732,326
"Casa independiente",,,,
"Viviendas particulares (112)",2651,1983,585,83
"Ocupantes presentes (113)",10900,8243,2338,319
"Departamento en edificio",,,,
"Viviendas particulares (115)",25,19,6,
"Ocupantes presentes (116)",78,58,20,
"Vivienda en quinta",,,,
"Viviendas particulares (118)",90,68,22,
"Ocupantes presentes (119)",428,306,122,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (121)",107,47,58,2
"Ocupantes presentes (122)",473,214,252,7
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (130)",5,5,,
"Ocupantes presentes (131)",7,7,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (136)",2620,1965,599,56
"Ocupantes presentes (137)",10730,8074,2441,215
"Casa independiente",,,,
"Viviendas particulares (139)",2416,1842,520,54
"Ocupantes presentes (140)",9846,7563,2075,208
"Departamento en edificio",,,,
"Viviendas particulares (142)",25,19,6,
"Ocupantes presentes (143)",78,58,20,
"Vivienda en quinta",,,,
"Viviendas particulares (145)",81,63,18,
"Ocupantes presentes (146)",382,272,110,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (148)",93,36,55,2
"Ocupantes presentes (149)",417,174,236,7
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (157)",5,5,,
"Ocupantes presentes (158)",7,7,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (163)",258,157,72,29
"Ocupantes presentes (164)",1156,754,291,111
"Casa independiente",,,,
"Viviendas particulares (166)",235,141,65,29
"Ocupantes presentes (167)",1054,680,263,111
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (172)",9,5,4,
"Ocupantes presentes (173)",46,34,12,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (175)",14,11,3,
"Ocupantes presentes (176)",56,40,16,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
RURAL,,,,
"Viviendas particulares (217)",663,492,154,17
"Ocupantes presentes (218)",2119,1591,466,62
"Casa independiente",,,,
"Viviendas particulares (220)",662,492,154,16
"Ocupantes presentes (221)",2115,1591,466,58
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (232)",1,,,1
"Ocupantes presentes (233)",4,,,4
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (244)",643,480,147,16
"Ocupantes presentes (245)",2063,1553,455,55
"Casa independiente",,,,
"Viviendas particulares (247)",642,480,147,15
"Ocupantes presentes (248)",2059,1553,455,51
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (259)",1,,,1
"Ocupantes presentes (260)",4,,,4
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (271)",20,12,7,1
"Ocupantes presentes (272)",56,38,11,7
"Casa independiente",,,,
"Viviendas particulares (274)",20,12,7,1
"Ocupantes presentes (275)",56,38,11,7
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
