"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia REQUENA (000)",12133,7316,4817
"Red pública dentro de la vivienda (001)",1747,1597,150
"Red pública fuera de la vivienda (002)",60,51,9
"Pilón de uso público (003)",16,9,7
"Camión - cisterna u otro similar (004)",10,7,3
"Pozo (005)",3317,2336,981
"Río, acequia, manatial o similar (006)",6432,2932,3500
"Vecino (007)",349,246,103
"Otro (008)",202,138,64
,,,
"URBANA (010)",6785,5466,1319
"Red pública dentro de la vivienda (011)",1746,1596,150
"Red pública fuera de la vivienda (012)",59,51,8
"Pilón de uso público (013)",15,9,6
"Camión - cisterna u otro similar (014)",9,7,2
"Pozo (015)",3014,2212,802
"Río, acequia, manatial o similar (016)",1486,1262,224
"Vecino (017)",348,246,102
"Otro (018)",108,83,25
,,,
"RURAL (020)",5348,1850,3498
"Red pública dentro de la vivienda (021)",1,1,
"Red pública fuera de la vivienda (022)",1,,1
"Pilón de uso público (023)",1,,1
"Camión - cisterna u otro similar (024)",1,,1
"Pozo (025)",303,124,179
"Río, acequia, manatial o similar (026)",4946,1670,3276
"Vecino (027)",1,,1
"Otro (028)",94,55,39
