"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia SANTA CRUZ (000)",11054,29,1084,143,181,525,4500,272,334,3531,55,400
"Agric., ganadería, caza y silvicultura (001)",7516,,1,2,1,,4500,2,2,3008,,
"Explotación de minas y canteras (003)",12,,,,3,1,,,1,7,,
"Industrias manufactureras (004)",266,,2,5,,7,,226,26,,,
"Suministro de electricidad, gas y agua (005)",8,,2,3,3,,,,,,,
"Construcción (006)",197,,9,5,1,,,8,113,61,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",521,,4,11,,400,,32,3,71,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",26,,2,3,,3,,15,3,,,
"Comercio al por mayor (009)",17,,,1,,16,,,,,,
"Comercio al por menor (010)",478,,2,7,,381,,17,,71,,
"Hoteles y restaurantes (011)",132,,1,5,1,92,,,,33,,
"Trans., almac. y comunicaciones (012)",202,,,3,9,,,,173,17,,
"Activid.inmobil., empres. y alquileres (014)",69,,17,10,25,4,,3,3,7,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",242,19,12,10,88,10,,1,9,38,55,
"Enseñanza (016)",1026,9,982,5,23,,,,1,6,,
"Servicios sociales y de salud (017)",118,,45,61,4,4,,,1,3,,
"Otras activ. serv.comun.soc y personales (018)",117,1,7,19,11,7,,,2,70,,
"Hogares privados con servicio doméstico (019)",208,,,,,,,,,208,,
"Actividad economica no especificada (021)",420,,2,4,12,,,,,2,,400
"Hombres (022)",8817,25,575,80,106,242,4355,231,326,2691,55,131
"Agric., ganadería, caza y silvicultura (023)",6848,,1,2,,,4355,2,2,2486,,
"Explotación de minas y canteras (025)",12,,,,3,1,,,1,7,,
"Industrias manufactureras (026)",217,,2,3,,6,,185,21,,,
"Suministro de electricidad, gas y agua (027)",8,,2,3,3,,,,,,,
"Construcción (028)",196,,9,5,1,,,8,112,61,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",277,,2,8,,198,,32,3,34,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",26,,2,3,,3,,15,3,,,
"Comercio al por mayor (031)",10,,,,,10,,,,,,
"Comercio al por menor (032)",241,,,5,,185,,17,,34,,
"Hoteles y restaurantes (033)",22,,1,2,,16,,,,3,,
"Trans., almac. y comunicaciones (034)",196,,,3,6,,,,171,16,,
"Activid.inmobil., empres. y alquileres (036)",42,,14,5,9,4,,3,3,4,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",202,17,11,6,61,10,,1,9,32,55,
"Enseñanza (038)",538,7,513,3,9,,,,1,5,,
"Servicios sociales y de salud (039)",41,,13,22,2,2,,,1,1,,
"Otras activ. serv.comun.soc y personales (040)",65,1,5,17,4,5,,,2,31,,
"Hogares privados con servicio doméstico (041)",9,,,,,,,,,9,,
"Actividad economica no especificada (043)",144,,2,1,8,,,,,2,,131
"Mujeres (044)",2237,4,509,63,75,283,145,41,8,840,,269
"Agric., ganadería, caza y silvicultura (045)",668,,,,1,,145,,,522,,
"Industrias manufactureras (048)",49,,,2,,1,,41,5,,,
"Construcción (050)",1,,,,,,,,1,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",244,,2,3,,202,,,,37,,
"Comercio al por mayor (053)",7,,,1,,6,,,,,,
"Comercio al por menor (054)",237,,2,2,,196,,,,37,,
"Hoteles y restaurantes (055)",110,,,3,1,76,,,,30,,
"Trans., almac. y comunicaciones (056)",6,,,,3,,,,2,1,,
"Activid.inmobil., empres. y alquileres (058)",27,,3,5,16,,,,,3,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",40,2,1,4,27,,,,,6,,
"Enseñanza (060)",488,2,469,2,14,,,,,1,,
"Servicios sociales y de salud (061)",77,,32,39,2,2,,,,2,,
"Otras activ. serv.comun.soc y personales (062)",52,,2,2,7,2,,,,39,,
"Hogares privados con servicio doméstico (063)",199,,,,,,,,,199,,
"Actividad economica no especificada (065)",276,,,3,4,,,,,,,269
,,,,,,,,,,,,
"URBANA (066)",3049,19,754,105,137,395,427,176,263,617,54,102
"Agric., ganadería, caza y silvicultura (067)",722,,1,1,,,427,,1,292,,
"Explotación de minas y canteras (069)",12,,,,3,1,,,1,7,,
"Industrias manufactureras (070)",172,,2,5,,6,,135,24,,,
"Suministro de electricidad, gas y agua (071)",5,,2,1,2,,,,,,,
"Construcción (072)",141,,9,4,1,,,7,85,35,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",395,,4,8,,302,,30,3,48,,
"Venta, mant.y rep. veh.autom.y motoc. (074)",25,,2,2,,3,,15,3,,,
"Comercio al por mayor (075)",15,,,1,,14,,,,,,
"Comercio al por menor (076)",355,,2,5,,285,,15,,48,,
"Hoteles y restaurantes (077)",95,,1,5,1,65,,,,23,,
"Trans., almac. y comunicaciones (078)",162,,,3,9,,,,135,15,,
"Activid.inmobil., empres. y alquileres (080)",53,,12,6,21,4,,3,2,5,,
"Admin.pub. y defensa; p. segur.soc.afil (081)",199,16,11,9,65,8,,1,9,26,54,
"Enseñanza (082)",689,2,660,5,16,,,,1,5,,
"Servicios sociales y de salud (083)",92,,43,40,1,4,,,1,3,,
"Otras activ. serv.comun.soc y personales (084)",85,1,7,14,8,5,,,1,49,,
"Hogares privados con servicio doméstico (085)",107,,,,,,,,,107,,
"Actividad economica no especificada (087)",120,,2,4,10,,,,,2,,102
"Hombres (088)",2014,17,391,58,76,176,401,157,256,382,54,46
"Agric., ganadería, caza y silvicultura (089)",643,,1,1,,,401,,1,239,,
"Explotación de minas y canteras (091)",12,,,,3,1,,,1,7,,
"Industrias manufactureras (092)",145,,2,3,,5,,116,19,,,
"Suministro de electricidad, gas y agua (093)",5,,2,1,2,,,,,,,
"Construcción (094)",140,,9,4,1,,,7,84,35,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",205,,2,7,,141,,30,3,22,,
"Venta, mant.y rep. veh.autom.y motoc. (096)",25,,2,2,,3,,15,3,,,
"Comercio al por mayor (097)",8,,,,,8,,,,,,
"Comercio al por menor (098)",172,,,5,,130,,15,,22,,
"Hoteles y restaurantes (099)",18,,1,2,,12,,,,3,,
"Trans., almac. y comunicaciones (100)",157,,,3,6,,,,134,14,,
"Activid.inmobil., empres. y alquileres (102)",30,,10,2,6,4,,3,2,3,,
"Admin.pub. y defensa; p. segur.soc.afil (103)",165,14,10,5,44,8,,1,9,20,54,
"Enseñanza (104)",350,2,334,3,5,,,,1,5,,
"Servicios sociales y de salud (105)",29,,13,12,,2,,,1,1,,
"Otras activ. serv.comun.soc y personales (106)",52,1,5,14,3,3,,,1,25,,
"Hogares privados con servicio doméstico (107)",6,,,,,,,,,6,,
"Actividad economica no especificada (109)",57,,2,1,6,,,,,2,,46
"Mujeres (110)",1035,2,363,47,61,219,26,19,7,235,,56
"Agric., ganadería, caza y silvicultura (111)",79,,,,,,26,,,53,,
"Industrias manufactureras (114)",27,,,2,,1,,19,5,,,
"Construcción (116)",1,,,,,,,,1,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",190,,2,1,,161,,,,26,,
"Comercio al por mayor (119)",7,,,1,,6,,,,,,
"Comercio al por menor (120)",183,,2,,,155,,,,26,,
"Hoteles y restaurantes (121)",77,,,3,1,53,,,,20,,
