"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia LAMPA (000)",12830,12108,94,2564,2439,1926,2712,1498,715,160,722,42453
"De 12 a 14 años (001)",18,12,1,8,3,,,,,,6,14
"De 15 a 19 años (002)",291,264,10,222,28,4,,,,,27,290
"De 20 a 24 años (003)",1305,1062,15,711,260,63,12,1,,,243,1475
"De 25 a 29 años (004)",1536,1341,9,523,498,209,97,4,1,,195,2583
"De 30 a 34 años (005)",1411,1318,10,307,441,292,229,36,2,1,93,3297
"De 35 a 39 años (006)",1448,1395,6,207,339,320,392,108,23,,53,4449
"De 40 a 44 años (007)",1246,1220,8,109,216,243,379,183,68,14,26,4805
"De 45 a 49 años (008)",1096,1081,3,93,163,186,303,216,99,18,15,4740
"De 50 y más años (009)",4479,4415,32,384,491,609,1300,950,522,127,64,20800
"PEA (010)",4357,4063,28,879,861,651,904,470,219,51,294,13928
"De 12 a 14 años (011)",3,2,,1,1,,,,,,1,3
"De 15 a 19 años (012)",65,58,5,49,3,1,,,,,7,58
"De 20 a 24 años (013)",400,313,4,204,78,23,4,,,,87,445
"De 25 a 29 años (014)",551,458,3,190,168,62,34,1,,,93,860
"De 30 a 34 años (015)",518,477,4,136,161,96,69,10,1,,41,1110
"De 35 a 39 años (016)",526,498,3,86,138,108,122,34,7,,28,1492
"De 40 a 44 años (017)",481,470,4,50,85,108,141,60,22,,11,1733
"De 45 a 49 años (018)",458,452,1,46,73,85,123,80,32,12,6,1905
"De 50 y más años (019)",1355,1335,4,117,154,168,411,285,157,39,20,6322
"Ocupada (020)",4115,3876,24,802,824,623,883,457,212,51,239,13460
"De 12 a 14 años (021)",2,2,,1,1,,,,,,,3
