"CUADRO Nº 18: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia CHEPEN (000)",18630,13425,5205
"Red pública de desague dentro de la vivienda (001)",8727,8284,443
"Red pública de desague fuera de la vivienda (002)",524,450,74
"Pozo séptico (003)",927,653,274
"Pozo ciego o negro / letrina (004)",6538,2986,3552
"Río, acequia o canal (005)",684,569,115
"No tiene (006)",1230,483,747
,,,
"URBANA (008)",15212,12845,2367
"Red pública de desague dentro de la vivienda (009)",8692,8254,438
"Red pública de desague fuera de la vivienda (010)",516,448,68
"Pozo séptico (011)",676,574,102
"Pozo ciego o negro / letrina (012)",3947,2630,1317
"Río, acequia o canal (013)",557,479,78
"No tiene (014)",824,460,364
,,,
"RURAL (016)",3418,580,2838
"Red pública de desague dentro de la vivienda (017)",35,30,5
"Red pública de desague fuera de la vivienda (018)",8,2,6
"Pozo séptico (019)",251,79,172
"Pozo ciego o negro / letrina (020)",2591,356,2235
"Río, acequia o canal (021)",127,90,37
"No tiene (022)",406,23,383
