"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CHINCHA (000)",56981,595,1639,3881,6708,10470,18458,15230
"De 12 a 14 años (001)",66,,,,,,5,61
"De 15 a 19 años (002)",1546,,,,,,859,687
"De 20 a 24 años (003)",6425,,,,,20,3321,3084
"De 25 a 29 años (004)",7629,,,,,319,4489,2821
"De 30 a 34 años (005)",7547,,,,1,1147,4503,1896
"De 35 a 39 años (006)",6746,,,,73,2127,3156,1390
"De 40 a 44 años (007)",5761,,,,497,2579,1583,1102
"De 45 a 49 años (008)",4768,,,43,1145,2274,473,833
"De 50 y más años (009)",16493,595,1639,3838,4992,2004,69,3356
"PEA (010)",23382,38,192,858,2360,5305,7590,7039
"De 12 a 14 años (011)",5,,,,,,,5
"De 15 a 19 años (012)",294,,,,,,156,138
"De 20 a 24 años (013)",2535,,,,,16,1112,1407
"De 25 a 29 años (014)",3666,,,,,187,1840,1639
"De 30 a 34 años (015)",3752,,,,1,691,1957,1103
"De 35 a 39 años (016)",3562,,,,44,1173,1519,826
"De 40 a 44 años (017)",2994,,,,254,1344,768,628
"De 45 a 49 años (018)",2270,,,22,514,1108,210,416
"De 50 y más años (019)",4304,38,192,836,1547,786,28,877
"Ocupada (020)",22561,38,186,847,2315,5180,7323,6672
"De 12 a 14 años (021)",5,,,,,,,5
"De 15 a 19 años (022)",259,,,,,,143,116
"De 20 a 24 años (023)",2346,,,,,15,1044,1287
"De 25 a 29 años (024)",3477,,,,,178,1763,1536
"De 30 a 34 años (025)",3634,,,,1,671,1905,1057
"De 35 a 39 años (026)",3484,,,,44,1147,1490,803
"De 40 a 44 años (027)",2909,,,,250,1310,746,603
"De 45 a 49 años (028)",2217,,,22,503,1087,205,400
"De 50 y más años (029)",4230,38,186,825,1517,772,27,865
"Desocupada (030)",821,,6,11,45,125,267,367
"De 15 a 19 años (032)",35,,,,,,13,22
"De 20 a 24 años (033)",189,,,,,1,68,120
"De 25 a 29 años (034)",189,,,,,9,77,103
"De 30 a 34 años (035)",118,,,,,20,52,46
"De 35 a 39 años (036)",78,,,,,26,29,23
"De 40 a 44 años (037)",85,,,,4,34,22,25
"De 45 a 49 años (038)",53,,,,11,21,5,16
"De 50 y más años (039)",74,,6,11,30,14,1,12
"No PEA (040)",33599,557,1447,3023,4348,5165,10868,8191
"De 12 a 14 años (041)",61,,,,,,5,56
"De 15 a 19 años (042)",1252,,,,,,703,549
"De 20 a 24 años (043)",3890,,,,,4,2209,1677
"De 25 a 29 años (044)",3963,,,,,132,2649,1182
"De 30 a 34 años (045)",3795,,,,,456,2546,793
