"CUADRO Nº 12: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE SI DISPONEN DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA POTABLE",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia CONCEPCION",,,,,,,,,
"Viviendas particulares (001)",6678,401,482,184,669,18,27,53,4844
"Ocupantes presentes (002)",28608,1634,1859,753,2643,80,113,225,21301
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",6576,397,477,179,665,18,27,53,4760
"Ocupantes presentes (005)",28009,1617,1840,731,2624,80,113,225,20779
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",8,,,,,,,,8
"Ocupantes presentes (008)",26,,,,,,,,26
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",52,,,,2,,,,50
"Ocupantes presentes (011)",376,,,,11,,,,365
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",37,4,5,5,2,,,,21
"Ocupantes presentes (014)",165,17,19,22,8,,,,99
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",1,,,,,,,,1
"Ocupantes presentes (020)",4,,,,,,,,4
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",4,,,,,,,,4
"Ocupantes presentes (023)",28,,,,,,,,28
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",5086,164,282,168,534,8,25,39,3866
"Ocupantes presentes (029)",22168,695,1079,680,2060,36,105,151,17362
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",4984,160,277,163,530,8,25,39,3782
"Ocupantes presentes (032)",21569,678,1060,658,2041,36,105,151,16840
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",8,,,,,,,,8
"Ocupantes presentes (035)",26,,,,,,,,26
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",52,,,,2,,,,50
"Ocupantes presentes (038)",376,,,,11,,,,365
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",37,4,5,5,2,,,,21
"Ocupantes presentes (041)",165,17,19,22,8,,,,99
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",1,,,,,,,,1
"Ocupantes presentes (047)",4,,,,,,,,4
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",4,,,,,,,,4
"Ocupantes presentes (050)",28,,,,,,,,28
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",1592,237,200,16,135,10,2,14,978
"Ocupantes presentes (056)",6440,939,780,73,583,44,8,74,3939
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",1592,237,200,16,135,10,2,14,978
"Ocupantes presentes (059)",6440,939,780,73,583,44,8,74,3939
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
